Pos,No,Driver,Car,Time,Laps
1,3,Michael SchumacherMSC,Ferrari,1:17.514,9
2,2,David CoulthardCOU,McLaren Mercedes,1:17.886,12
3,1,Mika HakkinenHAK,McLaren Mercedes,1:17.922,12
4,9,Ralf SchumacherRSC,Williams BMW,1:18.321,11
5,4,Rubens BarrichelloBAR,Ferrari,1:18.330,12
6,5,Heinz-Harald FrentzenFRE,Jordan Mugen Honda,1:18.523,12
7,11,Giancarlo FisichellaFIS,Benetton Playlife,1:18.607,11
8,10,Jenson ButtonBUT,Williams BMW,1:18.699,11
9,17,Mika SaloSAL,Sauber Petronas,1:18.748,12
10,7,Eddie IrvineIRV,Jaguar Cosworth,1:19.008,11
11,12,Alexander WurzWUR,Benetton Playlife,1:19.259,11
12,6,Jarno TrulliTRU,Jordan Mugen Honda,1:19.266,12
13,16,Pedro DinizDIN,Sauber Petronas,1:19.451,12
14,14,Jean AlesiALE,Prost Peugeot,1:19.626,12
15,18,Pedro de la RosaDLR,Arrows Supertec,1:19.897,12
16,22,Jacques VilleneuveVIL,BAR Honda,1:19.937,11
17,8,Johnny HerbertHER,Jaguar Cosworth,1:19.956,11
18,23,Ricardo ZontaZON,BAR Honda,1:20.272,12
19,15,Nick HeidfeldHEI,Prost Peugeot,1:20.481,12
20,19,Jos VerstappenVER,Arrows Supertec,1:20.609,12
21,20,Marc GeneGEN,Minardi Fondmetal,1:20.654,12
22,21,Gaston MazzacaneMAZ,Minardi Fondmetal,1:20.905,12
