Pos,No,Driver,Car,Time,Laps
1,3,Michael SchumacherMSC,Ferrari,1:37.397,8
2,1,Mika HakkinenHAK,McLaren Mercedes,1:37.860,11
3,2,David CoulthardCOU,McLaren Mercedes,1:37.889,11
4,4,Rubens BarrichelloBAR,Ferrari,1:37.896,11
5,12,Alexander WurzWUR,Benetton Playlife,1:38.644,12
6,22,Jacques VilleneuveVIL,BAR Honda,1:38.653,11
7,7,Eddie IrvineIRV,Jaguar Cosworth,1:38.696,12
8,9,Ralf SchumacherRSC,Williams BMW,1:38.739,12
9,6,Jarno TrulliTRU,Jordan Mugen Honda,1:38.909,11
10,5,Heinz-Harald FrentzenFRE,Jordan Mugen Honda,1:38.988,11
11,23,Ricardo ZontaZON,BAR Honda,1:39.158,11
12,8,Johnny HerbertHER,Jaguar Cosworth,1:39.331,12
13,11,Giancarlo FisichellaFIS,Benetton Playlife,1:39.387,12
14,18,Pedro de la RosaDLR,Arrows Supertec,1:39.443,12
15,19,Jos VerstappenVER,Arrows Supertec,1:39.489,9
16,10,Jenson ButtonBUT,Williams BMW,1:39.563,10
17,17,Mika SaloSAL,Sauber Petronas,1:39.591,12
18,14,Jean AlesiALE,Prost Peugeot,1:40.065,11
19,15,Nick HeidfeldHEI,Prost Peugeot,1:40.148,11
20,16,Pedro DinizDIN,Sauber Petronas,1:40.521,11
21,20,Marc GeneGEN,Minardi Fondmetal,1:40.662,12
22,21,Gaston MazzacaneMAZ,Minardi Fondmetal,1:42.078,12
