Pos,No,Driver,Car,Time,Laps
1,1,Mika HakkinenHAK,McLaren Mercedes,1:24.714,12
2,3,Michael SchumacherMSC,Ferrari,1:24.805,11
3,2,David CoulthardCOU,McLaren Mercedes,1:25.014,12
4,4,Rubens BarrichelloBAR,Ferrari,1:25.242,12
5,9,Ralf SchumacherRSC,Williams BMW,1:25.871,9
6,5,Heinz-Harald FrentzenFRE,Jordan Mugen Honda,1:25.892,12
7,7,Eddie IrvineIRV,Jaguar Cosworth,1:25.929,12
8,6,Jarno TrulliTRU,Jordan Mugen Honda,1:26.002,12
9,22,Jacques VilleneuveVIL,BAR Honda,1:26.124,12
10,16,Pedro DinizDIN,Sauber Petronas,1:26.238,12
11,12,Alexander WurzWUR,Benetton Playlife,1:26.281,12
12,17,Mika SaloSAL,Sauber Petronas,1:26.336,12
13,18,Pedro de la RosaDLR,Arrows Supertec,1:26.349,12
14,23,Ricardo ZontaZON,BAR Honda,1:26.814,11
15,14,Jean AlesiALE,Prost Peugeot,1:26.824,12
16,19,Jos VerstappenVER,Arrows Supertec,1:26.845,11
17,8,Johnny HerbertHER,Jaguar Cosworth,1:27.051,11
18,10,Jenson ButtonBUT,Williams BMW,1:27.135,11
19,11,Giancarlo FisichellaFIS,Benetton Playlife,1:27.253,11
20,21,Gaston MazzacaneMAZ,Minardi Fondmetal,1:28.161,12
21,20,Marc GeneGEN,Minardi Fondmetal,1:28.333,11
22,15,Nick HeidfeldHEI,Prost Peugeot,1:28.361,8
