Pos,No,Driver,Car,Time,Laps
1,3,Michael SchumacherMSC,Ferrari,1:18.439,11
2,2,David CoulthardCOU,McLaren Mercedes,1:18.537,12
3,4,Rubens BarrichelloBAR,Ferrari,1:18.801,10
4,1,Mika HakkinenHAK,McLaren Mercedes,1:18.985,12
5,5,Heinz-Harald FrentzenFRE,Jordan Mugen Honda,1:19.483,11
6,22,Jacques VilleneuveVIL,BAR Honda,1:19.544,12
7,6,Jarno TrulliTRU,Jordan Mugen Honda,1:19.581,12
8,23,Ricardo ZontaZON,BAR Honda,1:19.742,12
9,18,Pedro de la RosaDLR,Arrows Supertec,1:19.912,12
10,11,Giancarlo FisichellaFIS,Benetton Playlife,1:19.932,12
11,8,Johnny HerbertHER,Jaguar Cosworth,1:19.954,11
12,9,Ralf SchumacherRSC,Williams BMW,1:20.073,12
13,19,Jos VerstappenVER,Arrows Supertec,1:20.107,12
14,12,Alexander WurzWUR,Benetton Playlife,1:20.113,12
15,17,Mika SaloSAL,Sauber Petronas,1:20.445,11
16,7,Eddie IrvineIRV,Jaguar Cosworth,1:20.500,11
17,14,Jean AlesiALE,Prost Peugeot,1:20.512,8
18,10,Jenson ButtonBUT,Williams BMW,1:20.534,10
19,16,Pedro DinizDIN,Sauber Petronas,1:20.692,12
20,20,Marc GeneGEN,Minardi Fondmetal,1:21.058,11
21,15,Nick HeidfeldHEI,Prost Peugeot,1:21.680,12
22,21,Gaston MazzacaneMAZ,Minardi Fondmetal,1:22.091,11
