Pos,No,Driver,Car,Time,Laps
1,3,Michael SchumacherMSC,Ferrari,1:19.475,12
2,6,Jarno TrulliTRU,Jordan Mugen Honda,1:19.746,11
3,2,David CoulthardCOU,McLaren Mercedes,1:19.888,12
4,5,Heinz-Harald FrentzenFRE,Jordan Mugen Honda,1:19.961,11
5,1,Mika HakkinenHAK,McLaren Mercedes,1:20.241,11
6,4,Rubens BarrichelloBAR,Ferrari,1:20.416,12
7,14,Jean AlesiALE,Prost Peugeot,1:20.494,11
8,11,Giancarlo FisichellaFIS,Benetton Playlife,1:20.703,12
9,9,Ralf SchumacherRSC,Williams BMW,1:20.742,11
10,7,Eddie IrvineIRV,Jaguar Cosworth,1:20.743,11
11,8,Johnny HerbertHER,Jaguar Cosworth,1:20.792,12
12,12,Alexander WurzWUR,Benetton Playlife,1:20.871,11
13,17,Mika SaloSAL,Sauber Petronas,1:21.561,11
14,10,Jenson ButtonBUT,Williams BMW,1:21.605,12
15,19,Jos VerstappenVER,Arrows Supertec,1:21.738,12
16,18,Pedro de la RosaDLR,Arrows Supertec,1:21.832,10
17,22,Jacques VilleneuveVIL,BAR Honda,1:21.848,9
18,15,Nick HeidfeldHEI,Prost Peugeot,1:22.017,12
19,16,Pedro DinizDIN,Sauber Petronas,1:22.136,12
20,23,Ricardo ZontaZON,BAR Honda,1:22.324,12
21,20,Marc GeneGEN,Minardi Fondmetal,1:23.721,12
22,21,Gaston MazzacaneMAZ,Minardi Fondmetal,1:23.794,11
