Pos,No,Driver,Car,Time,Laps
1,2,David CoulthardCOU,McLaren Mercedes,1:45.697,6
2,3,Michael SchumacherMSC,Ferrari,1:47.063,10
3,11,Giancarlo FisichellaFIS,Benetton Playlife,1:47.130,8
4,1,Mika HakkinenHAK,McLaren Mercedes,1:47.162,9
5,18,Pedro de la RosaDLR,Arrows Supertec,1:47.786,7
6,6,Jarno TrulliTRU,Jordan Mugen Honda,1:47.833,7
7,12,Alexander WurzWUR,Benetton Playlife,1:48.037,7
8,8,Johnny HerbertHER,Jaguar Cosworth,1:48.078,6
9,22,Jacques VilleneuveVIL,BAR Honda,1:48.121,7
10,7,Eddie IrvineIRV,Jaguar Cosworth,1:48.305,9
11,19,Jos VerstappenVER,Arrows Supertec,1:48.321,7
12,23,Ricardo ZontaZON,BAR Honda,1:48.665,10
13,15,Nick HeidfeldHEI,Prost Peugeot,1:48.690,11
14,9,Ralf SchumacherRSC,Williams BMW,1:48.841,9
15,17,Mika SaloSAL,Sauber Petronas,1:49.204,8
16,10,Jenson ButtonBUT,Williams BMW,1:49.215,8
17,5,Heinz-Harald FrentzenFRE,Jordan Mugen Honda,1:49.280,11
18,4,Rubens BarrichelloBAR,Ferrari,1:49.544,10
19,16,Pedro DinizDIN,Sauber Petronas,1:49.936,10
20,14,Jean AlesiALE,Prost Peugeot,1:50.289,9
21,21,Gaston MazzacaneMAZ,Minardi Fondmetal,1:51.611,9
22,20,Marc GeneGEN,Minardi Fondmetal,1:53.094,7
