Pos,No,Driver,Car,Time,Laps
1,1,Mika HakkinenHAK,McLaren Mercedes,1:14.111,10
2,2,David CoulthardCOU,McLaren Mercedes,1:14.285,12
3,3,Michael SchumacherMSC,Ferrari,1:14.508,12
4,4,Rubens BarrichelloBAR,Ferrari,1:14.636,12
5,11,Giancarlo FisichellaFIS,Benetton Playlife,1:15.375,12
6,7,Eddie IrvineIRV,Jaguar Cosworth,1:15.425,10
7,5,Heinz-Harald FrentzenFRE,Jordan Mugen Honda,1:15.455,9
8,23,Ricardo ZontaZON,BAR Honda,1:15.484,10
9,10,Jenson ButtonBUT,Williams BMW,1:15.490,11
10,22,Jacques VilleneuveVIL,BAR Honda,1:15.515,10
11,9,Ralf SchumacherRSC,Williams BMW,1:15.561,10
12,6,Jarno TrulliTRU,Jordan Mugen Honda,1:15.627,10
13,12,Alexander WurzWUR,Benetton Playlife,1:15.664,12
14,19,Jos VerstappenVER,Arrows Supertec,1:15.704,12
15,14,Jean AlesiALE,Prost Peugeot,1:15.715,12
16,18,Pedro de la RosaDLR,Arrows Supertec,1:16.002,12
17,8,Johnny HerbertHER,Jaguar Cosworth,1:16.250,11
18,20,Marc GeneGEN,Minardi Fondmetal,1:16.380,11
19,15,Nick HeidfeldHEI,Prost Peugeot,1:17.112,12
20,16,Pedro DinizDIN,Sauber Petronas,1:17.178,3
21,21,Gaston MazzacaneMAZ,Minardi Fondmetal,1:17.512,12
22,17,Mika SaloSAL,Sauber Petronas,1:18.703,3
