Pos,No,Driver,Car,Time,Laps
1,3,Michael SchumacherMSC,Ferrari,1:35.825,9
2,1,Mika HakkinenHAK,McLaren Mercedes,1:35.834,12
3,2,David CoulthardCOU,McLaren Mercedes,1:36.236,12
4,4,Rubens BarrichelloBAR,Ferrari,1:36.330,10
5,10,Jenson ButtonBUT,Williams BMW,1:36.628,11
6,9,Ralf SchumacherRSC,Williams BMW,1:36.788,11
7,7,Eddie IrvineIRV,Jaguar Cosworth,1:36.899,11
8,5,Heinz-Harald FrentzenFRE,Jordan Mugen Honda,1:37.243,12
9,22,Jacques VilleneuveVIL,BAR Honda,1:37.267,11
10,8,Johnny HerbertHER,Jaguar Cosworth,1:37.329,12
11,12,Alexander WurzWUR,Benetton Playlife,1:37.348,12
12,11,Giancarlo FisichellaFIS,Benetton Playlife,1:37.479,12
13,18,Pedro de la RosaDLR,Arrows Supertec,1:37.652,11
14,19,Jos VerstappenVER,Arrows Supertec,1:37.674,11
15,6,Jarno TrulliTRU,Jordan Mugen Honda,1:37.679,11
16,15,Nick HeidfeldHEI,Prost Peugeot,1:38.141,11
17,14,Jean AlesiALE,Prost Peugeot,1:38.209,12
18,23,Ricardo ZontaZON,BAR Honda,1:38.269,9
19,17,Mika SaloSAL,Sauber Petronas,1:38.490,6
20,16,Pedro DinizDIN,Sauber Petronas,1:38.576,12
21,20,Marc GeneGEN,Minardi Fondmetal,1:39.972,9
22,21,Gaston MazzacaneMAZ,Minardi Fondmetal,1:40.462,12
