Pos,No,Driver,Car,Time,Laps
1,1,Mika HakkinenHAK,McLaren Mercedes,1:50.646,11
2,6,Jarno TrulliTRU,Jordan Mugen Honda,1:51.419,12
3,10,Jenson ButtonBUT,Williams BMW,1:51.444,12
4,3,Michael SchumacherMSC,Ferrari,1:51.552,12
5,2,David CoulthardCOU,McLaren Mercedes,1:51.587,11
6,9,Ralf SchumacherRSC,Williams BMW,1:51.743,12
7,22,Jacques VilleneuveVIL,BAR Honda,1:51.799,12
8,5,Heinz-Harald FrentzenFRE,Jordan Mugen Honda,1:51.926,11
9,8,Johnny HerbertHER,Jaguar Cosworth,1:52.242,12
10,4,Rubens BarrichelloBAR,Ferrari,1:52.444,12
11,11,Giancarlo FisichellaFIS,Benetton Playlife,1:52.756,5
12,7,Eddie IrvineIRV,Jaguar Cosworth,1:52.885,11
13,23,Ricardo ZontaZON,BAR Honda,1:53.002,11
14,15,Nick HeidfeldHEI,Prost Peugeot,1:53.193,12
15,16,Pedro DinizDIN,Sauber Petronas,1:53.211,11
16,18,Pedro de la RosaDLR,Arrows Supertec,1:53.237,11
17,14,Jean AlesiALE,Prost Peugeot,1:53.309,11
18,17,Mika SaloSAL,Sauber Petronas,1:53.357,11
19,12,Alexander WurzWUR,Benetton Playlife,1:53.403,5
20,19,Jos VerstappenVER,Arrows Supertec,1:53.912,12
21,20,Marc GeneGEN,Minardi Fondmetal,1:54.680,10
22,21,Gaston MazzacaneMAZ,Minardi Fondmetal,1:54.784,12
