Pos,No,Driver,Car,Laps,Time/retired,Pts
1,44,Lewis HamiltonHAM,Mercedes,57,1:35:05.809,25
2,7,Kimi RäikkönenRAI,Ferrari,57,+3.380s,18
3,6,Nico RosbergROS,Mercedes,57,+6.033s,15
4,77,Valtteri BottasBOT,Williams Mercedes,57,+42.957s,12
5,5,Sebastian VettelVET,Ferrari,57,+43.989s,10
6,3,Daniel RicciardoRIC,Red Bull Racing Renault,57,+61.751s,8
7,8,Romain GrosjeanGRO,Lotus Mercedes,57,+84.763s,6
8,11,Sergio PerezPER,Force India Mercedes,56,+1 lap,4
9,26,Daniil KvyatKVY,Red Bull Racing Renault,56,+1 lap,2
10,19,Felipe MassaMAS,Williams Mercedes,56,+1 lap,1
11,14,Fernando AlonsoALO,McLaren Honda,56,+1 lap,0
12,12,Felipe NasrNAS,Sauber Ferrari,56,+1 lap,0
13,27,Nico HulkenbergHUL,Force India Mercedes,56,+1 lap,0
14,9,Marcus EricssonERI,Sauber Ferrari,56,+1 lap,0
15,13,Pastor MaldonadoMAL,Lotus Mercedes,56,+1 lap,0
16,28,Will StevensSTE,Marussia Ferrari,55,+2 laps,0
17,98,Roberto MerhiMER,Marussia Ferrari,54,+3 laps,0
NC,33,Max VerstappenVER,STR Renault,34,DNF,0
NC,55,Carlos SainzSAI,STR Renault,29,DNF,0
NC,22,Jenson ButtonBUT,McLaren Honda,0,DNS,0
