Pos,No,Driver,Car,Laps,Time/retired,Pts
1,6,Nico RosbergROS,Mercedes,71,1:42:35.038,25
2,44,Lewis HamiltonHAM,Mercedes,71,+1.954s,18
3,77,Valtteri BottasBOT,Williams Mercedes,71,+14.592s,15
4,26,Daniil KvyatKVY,Red Bull Racing Renault,71,+16.572s,12
5,3,Daniel RicciardoRIC,Red Bull Racing Renault,71,+19.682s,10
6,19,Felipe MassaMAS,Williams Mercedes,71,+21.493s,8
7,27,Nico HulkenbergHUL,Force India Mercedes,71,+25.860s,6
8,11,Sergio PerezPER,Force India Mercedes,71,+34.343s,4
9,33,Max VerstappenVER,STR Renault,71,+35.229s,2
10,8,Romain GrosjeanGRO,Lotus Mercedes,71,+37.934s,1
11,13,Pastor MaldonadoMAL,Lotus Mercedes,71,+38.538s,0
12,9,Marcus EricssonERI,Sauber Ferrari,71,+40.180s,0
13,55,Carlos SainzSAI,STR Renault,71,+48.772s,0
14,22,Jenson ButtonBUT,McLaren Honda,71,+49.214s,0
15,53,Alexander RossiRSI,Marussia Ferrari,69,+2 laps,0
16,28,Will StevensSTE,Marussia Ferrari,69,+2 laps,0
NC,12,Felipe NasrNAS,Sauber Ferrari,57,DNF,0
NC,5,Sebastian VettelVET,Ferrari,50,DNF,0
NC,7,Kimi RäikkönenRAI,Ferrari,21,DNF,0
NC,14,Fernando AlonsoALO,McLaren Honda,1,DNF,0
