Pos,No,Driver,Car,Laps,Time/retired,Pts
1,5,Sebastian VettelVET,Ferrari,56,1:41:05.793,25
2,44,Lewis HamiltonHAM,Mercedes,56,+8.569s,18
3,6,Nico RosbergROS,Mercedes,56,+12.310s,15
4,7,Kimi RäikkönenRAI,Ferrari,56,+53.822s,12
5,77,Valtteri BottasBOT,Williams Mercedes,56,+70.409s,10
6,19,Felipe MassaMAS,Williams Mercedes,56,+73.586s,8
7,33,Max VerstappenVER,STR Renault,56,+97.762s,6
8,55,Carlos SainzSAI,STR Renault,55,+1 lap,4
9,26,Daniil KvyatKVY,Red Bull Racing Renault,55,+1 lap,2
10,3,Daniel RicciardoRIC,Red Bull Racing Renault,55,+1 lap,1
11,8,Romain GrosjeanGRO,Lotus Mercedes,55,+1 lap,0
12,12,Felipe NasrNAS,Sauber Ferrari,55,+1 lap,0
13,11,Sergio PerezPER,Force India Mercedes,55,+1 lap,0
14,27,Nico HulkenbergHUL,Force India Mercedes,55,+1 lap,0
15,98,Roberto MerhiMER,Marussia Ferrari,53,+3 laps,0
NC,13,Pastor MaldonadoMAL,Lotus Mercedes,47,DNF,0
NC,22,Jenson ButtonBUT,McLaren Honda,41,DNF,0
NC,14,Fernando AlonsoALO,McLaren Honda,21,DNF,0
NC,9,Marcus EricssonERI,Sauber Ferrari,3,DNF,0
