Pos,No,Driver,Car,Laps,Time/retired,Pts
1,5,Sebastian VettelVET,Ferrari,69,1:46:09.985,25
2,26,Daniil KvyatKVY,Red Bull Racing Renault,69,+15.748s,18
3,3,Daniel RicciardoRIC,Red Bull Racing Renault,69,+25.084s,15
4,33,Max VerstappenVER,STR Renault,69,+44.251s,12
5,14,Fernando AlonsoALO,McLaren Honda,69,+49.079s,10
6,44,Lewis HamiltonHAM,Mercedes,69,+52.025s,8
7,8,Romain GrosjeanGRO,Lotus Mercedes,69,+58.578s,6
8,6,Nico RosbergROS,Mercedes,69,+58.876s,4
9,22,Jenson ButtonBUT,McLaren Honda,69,+67.028s,2
10,9,Marcus EricssonERI,Sauber Ferrari,69,+69.130s,1
11,12,Felipe NasrNAS,Sauber Ferrari,69,+73.458s,0
12,19,Felipe MassaMAS,Williams Mercedes,69,+74.278s,0
13,77,Valtteri BottasBOT,Williams Mercedes,69,+80.228s,0
14,13,Pastor MaldonadoMAL,Lotus Mercedes,69,+85.142s,0
15,98,Roberto MerhiMER,Marussia Ferrari,67,+2 laps,0
16,28,Will StevensSTE,Marussia Ferrari,65,DNF,0
NC,55,Carlos SainzSAI,STR Renault,60,DNF,0
NC,7,Kimi RäikkönenRAI,Ferrari,55,DNF,0
NC,11,Sergio PerezPER,Force India Mercedes,53,DNF,0
NC,27,Nico HulkenbergHUL,Force India Mercedes,41,DNF,0
