Pos,No,Driver,Car,Laps,Time/retired,Pts
1,44,Lewis HamiltonHAM,Mercedes,58,1:31:54.067,25
2,6,Nico RosbergROS,Mercedes,58,+1.360s,18
3,5,Sebastian VettelVET,Ferrari,58,+34.523s,15
4,19,Felipe MassaMAS,Williams Mercedes,58,+38.196s,12
5,12,Felipe NasrNAS,Sauber Ferrari,58,+95.149s,10
6,3,Daniel RicciardoRIC,Red Bull Racing Renault,57,+1 lap,8
7,27,Nico HulkenbergHUL,Force India Mercedes,57,+1 lap,6
8,9,Marcus EricssonERI,Sauber Ferrari,57,+1 lap,4
9,55,Carlos SainzSAI,STR Renault,57,+1 lap,2
10,11,Sergio PerezPER,Force India Mercedes,57,+1 lap,1
11,22,Jenson ButtonBUT,McLaren Honda,56,+2 laps,0
NC,7,Kimi RäikkönenRAI,Ferrari,40,DNF,0
NC,33,Max VerstappenVER,STR Renault,32,DNF,0
NC,8,Romain GrosjeanGRO,Lotus Mercedes,0,DNF,0
NC,13,Pastor MaldonadoMAL,Lotus Mercedes,0,DNF,0
NC,26,Daniil KvyatKVY,Red Bull Racing Renault,0,DNS,0
NC,20,Kevin MagnussenMAG,McLaren Honda,0,DNS,0
