Pos,No,Driver,Car,Laps,Time/retired,Pts
1,6,Nico RosbergROS,Mercedes,66,1:41:12.555,25
2,44,Lewis HamiltonHAM,Mercedes,66,+17.551s,18
3,5,Sebastian VettelVET,Ferrari,66,+45.342s,15
4,77,Valtteri BottasBOT,Williams Mercedes,66,+59.217s,12
5,7,Kimi RäikkönenRAI,Ferrari,66,+60.002s,10
6,19,Felipe MassaMAS,Williams Mercedes,66,+81.314s,8
7,3,Daniel RicciardoRIC,Red Bull Racing Renault,65,+1 lap,6
8,8,Romain GrosjeanGRO,Lotus Mercedes,65,+1 lap,4
9,55,Carlos SainzSAI,STR Renault,65,+1 lap,2
10,26,Daniil KvyatKVY,Red Bull Racing Renault,65,+1 lap,1
11,33,Max VerstappenVER,STR Renault,65,+1 lap,0
12,12,Felipe NasrNAS,Sauber Ferrari,65,+1 lap,0
13,11,Sergio PerezPER,Force India Mercedes,65,+1 lap,0
14,9,Marcus EricssonERI,Sauber Ferrari,65,+1 lap,0
15,27,Nico HulkenbergHUL,Force India Mercedes,65,+1 lap,0
16,22,Jenson ButtonBUT,McLaren Honda,65,+1 lap,0
17,28,Will StevensSTE,Marussia Ferrari,63,+3 laps,0
18,98,Roberto MerhiMER,Marussia Ferrari,62,+4 laps,0
NC,13,Pastor MaldonadoMAL,Lotus Mercedes,45,DNF,0
NC,14,Fernando AlonsoALO,McLaren Honda,26,DNF,0
