Pos,No,Driver,Car,Laps,Time/retired,Pts
1,44,Lewis HamiltonHAM,Mercedes,56,1:39:42.008,25
2,6,Nico RosbergROS,Mercedes,56,+0.714s,18
3,5,Sebastian VettelVET,Ferrari,56,+2.988s,15
4,7,Kimi RäikkönenRAI,Ferrari,56,+3.835s,12
5,19,Felipe MassaMAS,Williams Mercedes,56,+8.544s,10
6,77,Valtteri BottasBOT,Williams Mercedes,56,+9.885s,8
7,8,Romain GrosjeanGRO,Lotus Mercedes,56,+19.008s,6
8,12,Felipe NasrNAS,Sauber Ferrari,56,+22.625s,4
9,3,Daniel RicciardoRIC,Red Bull Racing Renault,56,+32.117s,2
10,9,Marcus EricssonERI,Sauber Ferrari,55,+1 lap,1
11,11,Sergio PerezPER,Force India Mercedes,55,+1 lap,0
12,14,Fernando AlonsoALO,McLaren Honda,55,+1 lap,0
13,55,Carlos SainzSAI,STR Renault,55,+1 lap,0
14,22,Jenson ButtonBUT,McLaren Honda,55,+1 lap,0
15,28,Will StevensSTE,Marussia Ferrari,54,+2 laps,0
16,98,Roberto MerhiMER,Marussia Ferrari,54,+2 laps,0
17,33,Max VerstappenVER,STR Renault,52,DNF,0
NC,13,Pastor MaldonadoMAL,Lotus Mercedes,49,DNF,0
NC,26,Daniil KvyatKVY,Red Bull Racing Renault,15,DNF,0
NC,27,Nico HulkenbergHUL,Force India Mercedes,9,DNF,0
