Pos,No,Driver,Car,Time,Gap,Laps
1,2,Lewis HamiltonHAM,McLaren Mercedes,1:34.921,,19
2,4,Nico RosbergROS,Mercedes,1:35.106,+0.185s,19
3,1,Jenson ButtonBUT,McLaren Mercedes,1:35.207,+0.286s,25
4,3,Michael SchumacherMSC,Mercedes,1:35.225,+0.304s,14
5,11,Robert KubicaKUB,Renault,1:35.402,+0.481s,22
6,6,Mark WebberWEB,RBR Renault,1:35.479,+0.558s,22
7,14,Adrian SutilSUT,Force India Mercedes,1:35.955,+1.034s,20
8,8,Fernando AlonsoALO,Ferrari,1:35.959,+1.038s,20
9,5,Sebastian VettelVET,RBR Renault,1:36.043,+1.122s,19
10,16,Sebastien BuemiBUE,STR Ferrari,1:36.100,+1.179s,20
11,7,Felipe MassaMAS,Ferrari,1:36.451,+1.530s,22
12,23,Kamui KobayashiKOB,Sauber Ferrari,1:36.503,+1.582s,28
13,17,Jaime AlguersuariALG,STR Ferrari,1:36.645,+1.724s,18
14,12,Vitaly PetrovPET,Renault,1:36.712,+1.791s,9
15,15,Paul di RestaDIR,Force India Mercedes,1:36.891,+1.970s,25
16,22,Pedro de la RosaDLR,Sauber Ferrari,1:36.899,+1.978s,24
17,10,Nico HulkenbergHUL,Williams Cosworth,1:37.802,+2.881s,27
18,9,Rubens BarrichelloBAR,Williams Cosworth,1:38.278,+3.357s,18
19,18,Jarno TrulliTRU,Lotus Cosworth,1:39.460,+4.539s,21
20,24,Timo GlockGLO,Virgin Cosworth,1:39.755,+4.834s,17
21,25,Lucas di GrassiDIG,Virgin Cosworth,1:40.159,+5.238s,25
22,19,Fairuz FauzyFAU,Lotus Cosworth,1:40.721,+5.800s,19
23,21,Bruno SennaSEN,HRT Cosworth,1:41.832,+6.911s,27
24,20,Karun ChandhokCHD,HRT Cosworth,1:41.966,+7.045s,24
