Pos,No,Driver,Car,Time,Gap,Laps
1,14,Adrian SutilSUT,Force India Mercedes,1:25.701,,20
2,7,Felipe MassaMAS,Ferrari,1:26.850,+1.149s,27
3,1,Jenson ButtonBUT,McLaren Mercedes,1:26.936,+1.235s,16
4,9,Rubens BarrichelloBAR,Williams Cosworth,1:26.947,+1.246s,21
5,12,Vitaly PetrovPET,Renault,1:26.948,+1.247s,21
6,4,Nico RosbergROS,Mercedes,1:27.448,+1.747s,20
7,16,Sebastien BuemiBUE,STR Ferrari,1:28.114,+2.413s,31
8,10,Nico HulkenbergHUL,Williams Cosworth,1:28.193,+2.492s,24
9,15,Vitantonio LiuzziLIU,Force India Mercedes,1:28.300,+2.599s,19
10,22,Pedro de la RosaDLR,Sauber Ferrari,1:28.486,+2.785s,23
11,5,Sebastian VettelVET,RBR Renault,1:28.735,+3.034s,21
12,24,Timo GlockGLO,Virgin Cosworth,1:28.735,+3.034s,21
13,11,Robert KubicaKUB,Renault,1:28.903,+3.202s,20
14,6,Mark WebberWEB,RBR Renault,1:29.048,+3.347s,13
15,18,Jarno TrulliTRU,Lotus Cosworth,1:29.280,+3.579s,17
16,17,Jaime AlguersuariALG,STR Ferrari,1:29.366,+3.665s,34
17,2,Lewis HamiltonHAM,McLaren Mercedes,1:29.429,+3.728s,8
18,25,Lucas di GrassiDIG,Virgin Cosworth,1:29.500,+3.799s,19
19,8,Fernando AlonsoALO,Ferrari,1:29.684,+3.983s,15
20,23,Kamui KobayashiKOB,Sauber Ferrari,1:29.690,+3.989s,17
21,19,Fairuz FauzyFAU,Lotus Cosworth,1:30.938,+5.237s,27
22,21,Bruno SennaSEN,HRT Cosworth,1:31.720,+6.019s,23
23,3,Michael SchumacherMSC,Mercedes,1:32.450,+6.749s,13
24,20,Sakon YamamotoYAM,HRT Cosworth,1:32.791,+7.090s,26
