Pos,No,Driver,Car,Time,Gap,Laps
1,14,Adrian SutilSUT,Force India Mercedes,1:56.583,,18
2,8,Fernando AlonsoALO,Ferrari,1:56.766,+0.183s,18
3,11,Robert KubicaKUB,Renault,1:57.041,+0.458s,19
4,7,Felipe MassaMAS,Ferrari,1:57.055,+0.472s,19
5,1,Jenson ButtonBUT,McLaren Mercedes,1:57.068,+0.485s,19
6,2,Lewis HamiltonHAM,McLaren Mercedes,1:57.163,+0.580s,19
7,15,Vitantonio LiuzziLIU,Force India Mercedes,1:57.194,+0.611s,19
8,4,Nico RosbergROS,Mercedes,1:57.199,+0.616s,15
9,6,Mark WebberWEB,RBR Renault,1:57.255,+0.672s,17
10,3,Michael SchumacherMSC,Mercedes,1:57.662,+1.079s,16
11,17,Jaime AlguersuariALG,STR Ferrari,1:57.722,+1.139s,18
12,10,Nico HulkenbergHUL,Williams Cosworth,1:57.894,+1.311s,20
13,5,Sebastian VettelVET,RBR Renault,1:57.943,+1.360s,17
14,16,Sebastien BuemiBUE,STR Ferrari,1:58.399,+1.816s,13
15,9,Rubens BarrichelloBAR,Williams Cosworth,1:58.782,+2.199s,11
16,12,Vitaly PetrovPET,Renault,1:58.880,+2.297s,13
17,22,Pedro de la RosaDLR,Sauber Ferrari,2:00.250,+3.667s,18
18,23,Kamui KobayashiKOB,Sauber Ferrari,2:01.388,+4.805s,11
19,24,Timo GlockGLO,Virgin Cosworth,2:03.680,+7.097s,8
20,19,Heikki KovalainenKOV,Lotus Cosworth,2:03.848,+7.265s,21
21,18,Jarno TrulliTRU,Lotus Cosworth,2:03.970,+7.387s,15
22,25,Lucas di GrassiDIG,Virgin Cosworth,,,2
23,21,Bruno SennaSEN,HRT Cosworth,,,3
