Pos,No,Driver,Car,Time,Laps
1,8,Nick HeidfeldHEI,Williams BMW,1:30.081,3
2,9,Kimi RäikkönenRAI,McLaren Mercedes,1:30.197,3
3,7,Mark WebberWEB,Williams BMW,1:30.368,3
4,16,Jarno TrulliTRU,Toyota,1:30.700,3
5,10,Juan Pablo MontoyaMOY,McLaren Mercedes,1:30.890,3
6,5,Fernando AlonsoALO,Renault,1:31.056,3
7,2,Rubens BarrichelloBAR,Ferrari,1:31.249,3
8,17,Ralf SchumacherRSC,Toyota,1:31.392,3
9,6,Giancarlo FisichellaFIS,Renault,1:31.566,3
10,1,Michael SchumacherMSC,Ferrari,1:31.585,3
11,12,Felipe MassaMAS,Sauber Petronas,1:32.205,3
12,14,David CoulthardCOU,RBR Cosworth,1:32.553,3
13,3,Jenson ButtonBUT,BAR Honda,1:32.594,3
14,15,Vitantonio LiuzziLIU,RBR Cosworth,1:32.642,3
15,11,Jacques VilleneuveVIL,Sauber Petronas,1:32.891,3
16,4,Takuma SatoSAT,BAR Honda,1:32.926,3
17,18,Tiago MonteiroMON,Jordan Toyota,1:35.047,3
18,20,Patrick Friesacher FRI,Minardi Cosworth,1:35.954,3
19,19,Narain KarthikeyanKAR,Jordan Toyota,1:36.192,3
20,21,Christijan AlbersALB,Minardi Cosworth,1:36.239,3
