Pos,No,Driver,Car,Time,Laps
1,9,Kimi RäikkönenRAI,McLaren Mercedes,2:42.880,6
2,5,Fernando AlonsoALO,Renault,2:43.441,6
3,3,Jenson ButtonBUT,BAR Honda,2:44.105,6
4,7,Mark WebberWEB,Williams BMW,2:44.511,6
5,16,Jarno TrulliTRU,Toyota,2:44.518,6
6,4,Takuma SatoSAT,BAR Honda,2:44.658,6
7,10,Alexander WurzWUR,McLaren Mercedes,2:44.689,6
8,12,Felipe MassaMAS,Sauber Petronas,2:44.930,6
9,8,Nick HeidfeldHEI,Williams BMW,2:45.196,6
10,2,Rubens BarrichelloBAR,Ferrari,2:45.243,6
11,17,Ralf SchumacherRSC,Toyota,2:45.416,6
12,11,Jacques VilleneuveVIL,Sauber Petronas,2:46.259,6
13,6,Giancarlo FisichellaFIS,Renault,2:46.710,6
14,1,Michael SchumacherMSC,Ferrari,2:47.244,6
15,14,David CoulthardCOU,RBR Cosworth,2:48.070,6
16,15,Vitantonio LiuzziLIU,RBR Cosworth,2:48.155,6
17,19,Narain KarthikeyanKAR,Jordan Toyota,2:52.099,6
18,18,Tiago MonteiroMON,Jordan Toyota,2:54.252,6
19,20,Patrick Friesacher FRI,Minardi Cosworth,2:57.048,6
20,21,Christijan AlbersALB,Minardi Cosworth,1:25.921,5
