Pos,No,Driver,Car,Time,Laps
1,6,Giancarlo FisichellaFIS,Renault,3:01.460,6
2,16,Jarno TrulliTRU,Toyota,3:04.429,6
3,7,Mark WebberWEB,Williams BMW,3:04.996,6
4,11,Jacques VilleneuveVIL,Sauber Petronas,3:06.846,6
5,14,David CoulthardCOU,RBR Cosworth,3:07.212,6
6,15,Christian KlienKLI,RBR Cosworth,3:07.477,6
7,8,Nick HeidfeldHEI,Williams BMW,3:09.130,6
8,3,Jenson ButtonBUT,BAR Honda,3:12.128,6
9,10,Juan Pablo MontoyaMOY,McLaren Mercedes,3:14.645,6
10,9,Kimi RäikkönenRAI,McLaren Mercedes,3:15.558,6
11,2,Rubens BarrichelloBAR,Ferrari,3:16.822,6
12,19,Narain KarthikeyanKAR,Jordan Toyota,3:17.092,6
13,5,Fernando AlonsoALO,Renault,3:17.466,6
14,18,Tiago MonteiroMON,Jordan Toyota,3:20.329,6
15,17,Ralf SchumacherRSC,Toyota,3:22.717,6
16,20,Patrick Friesacher FRI,Minardi Cosworth,3:28.363,6
17,21,Christijan AlbersALB,Minardi Cosworth,1:49.230,3
18,1,Michael SchumacherMSC,Ferrari,1:57.931,4
19,4,Takuma SatoSAT,BAR Honda,,2
20,12,Felipe MassaMAS,Sauber Petronas,,2
