Pos,No,Driver,Car,Time,Laps
1,10,Juan Pablo MontoyaMOY,McLaren Mercedes,1:46.391,3
2,9,Kimi RäikkönenRAI,McLaren Mercedes,1:46.440,3
3,6,Giancarlo FisichellaFIS,Renault,1:46.497,3
4,16,Jarno TrulliTRU,Toyota,1:46.596,3
5,5,Fernando AlonsoALO,Renault,1:46.760,3
6,17,Ralf SchumacherRSC,Toyota,1:47.401,3
7,1,Michael SchumacherMSC,Ferrari,1:47.476,3
8,12,Felipe MassaMAS,Sauber Petronas,1:47.867,3
9,3,Jenson ButtonBUT,BAR Honda,1:47.978,3
10,7,Mark WebberWEB,Williams BMW,1:48.071,3
11,4,Takuma SatoSAT,BAR Honda,1:48.353,3
12,14,David CoulthardCOU,RBR Cosworth,1:48.508,3
13,2,Rubens BarrichelloBAR,Ferrari,1:48.550,3
14,11,Jacques VilleneuveVIL,Sauber Petronas,1:48.889,3
15,8,Antonio PizzoniaPIZ,Williams BMW,1:48.898,3
16,15,Christian KlienKLI,RBR Cosworth,1:48.994,3
17,20,Robert DoornbosDOO,Minardi Cosworth,1:49.779,3
18,21,Christijan AlbersALB,Minardi Cosworth,1:49.842,3
19,18,Tiago MonteiroMON,Jordan Toyota,1:51.498,3
20,19,Narain KarthikeyanKAR,Jordan Toyota,1:51.675,3
