Pos,No,Driver,Car,Time,Laps
1,9,Kimi RäikkönenRAI,McLaren Mercedes,1:20.878,3
2,10,Juan Pablo MontoyaMOY,McLaren Mercedes,1:21.054,3
3,5,Fernando AlonsoALO,Renault,1:21.319,3
4,3,Jenson ButtonBUT,BAR Honda,1:21.369,3
5,4,Takuma SatoSAT,BAR Honda,1:21.477,3
6,16,Jarno TrulliTRU,Toyota,1:21.640,3
7,1,Michael SchumacherMSC,Ferrari,1:21.721,3
8,2,Rubens BarrichelloBAR,Ferrari,1:21.962,3
9,6,Giancarlo FisichellaFIS,Renault,1:22.068,3
10,17,Ralf SchumacherRSC,Toyota,1:22.266,3
11,14,David CoulthardCOU,RBR Cosworth,1:22.304,3
12,11,Jacques VilleneuveVIL,Sauber Petronas,1:22.356,3
13,15,Christian KlienKLI,RBR Cosworth,1:22.532,3
14,7,Mark WebberWEB,Williams BMW,1:22.560,3
15,12,Felipe MassaMAS,Sauber Petronas,1:23.060,3
16,8,Antonio PizzoniaPIZ,Williams BMW,1:23.291,3
17,18,Tiago MonteiroMON,Jordan Toyota,1:24.666,3
18,20,Robert DoornbosDOO,Minardi Cosworth,1:24.904,3
19,19,Narain KarthikeyanKAR,Jordan Toyota,1:25.859,3
20,21,Christijan AlbersALB,Minardi Cosworth,1:26.964,3
