Pos,No,Driver,Car,Time,Laps
1,5,Fernando AlonsoALO,Renault,1:14.412,3
2,16,Jarno TrulliTRU,Toyota,1:14.521,3
3,9,Kimi RäikkönenRAI,McLaren Mercedes,1:14.559,3
4,1,Michael SchumacherMSC,Ferrari,1:14.572,3
5,4,Takuma SatoSAT,BAR Honda,1:14.655,3
6,2,Rubens BarrichelloBAR,Ferrari,1:14.832,3
7,6,Giancarlo FisichellaFIS,Renault,1:14.887,3
8,3,Jenson ButtonBUT,BAR Honda,1:15.051,3
9,10,Juan Pablo MontoyaMOY,McLaren Mercedes,1:15.406,3
10,12,Felipe MassaMAS,Sauber Petronas,1:15.566,3
11,11,Jacques VilleneuveVIL,Sauber Petronas,1:15.699,3
12,17,Ralf SchumacherRSC,Toyota,1:15.771,3
13,7,Mark WebberWEB,Williams BMW,1:15.885,3
14,8,Nick HeidfeldHEI,Williams BMW,1:16.207,3
15,14,David CoulthardCOU,RBR Cosworth,1:16.434,3
16,15,Christian KlienKLI,RBR Cosworth,1:16.547,3
17,19,Narain KarthikeyanKAR,Jordan Toyota,1:17.857,3
18,20,Patrick Friesacher FRI,Minardi Cosworth,1:17.960,3
19,18,Tiago MonteiroMON,Jordan Toyota,1:18.047,3
20,21,Christijan AlbersALB,Minardi Cosworth,1:18.335,3
