Pos,No,Driver,Car,Time,Laps
1,5,Fernando AlonsoALO,Renault,3:01.902,6
2,1,Michael SchumacherMSC,Ferrari,3:02.357,6
3,16,Jarno TrulliTRU,Toyota,3:02.660,6
4,8,Nick HeidfeldHEI,Williams BMW,3:03.217,6
5,7,Mark WebberWEB,Williams BMW,3:03.262,6
6,17,Ralf SchumacherRSC,Toyota,3:03.271,6
7,15,Christian KlienKLI,RBR Cosworth,3:03.369,6
8,10,Pedro de la RosaDLR,McLaren Mercedes,3:03.373,6
9,9,Kimi RäikkönenRAI,McLaren Mercedes,3:03.524,6
10,6,Giancarlo FisichellaFIS,Renault,3:03.765,6
11,3,Jenson ButtonBUT,BAR Honda,3:04.348,6
12,12,Felipe MassaMAS,Sauber Petronas,3:05.202,6
13,4,Takuma SatoSAT,BAR Honda,3:05.563,6
14,14,David CoulthardCOU,RBR Cosworth,3:05.844,6
15,2,Rubens BarrichelloBAR,Ferrari,3:07.693,6
16,11,Jacques VilleneuveVIL,Sauber Petronas,3:07.983,6
17,18,Tiago MonteiroMON,Jordan Toyota,3:09.428,6
18,19,Narain KarthikeyanKAR,Jordan Toyota,3:10.143,6
19,21,Christijan AlbersALB,Minardi Cosworth,3:10.422,6
20,20,Patrick Friesacher FRI,Minardi Cosworth,3:11.261,6
