Pos,No,Driver,Car,Time,Laps
1,5,Fernando AlonsoALO,Renault,1:11.988,3
2,10,Juan Pablo MontoyaMOY,McLaren Mercedes,1:12.145,3
3,6,Giancarlo FisichellaFIS,Renault,1:12.558,3
4,3,Jenson ButtonBUT,BAR Honda,1:12.696,3
5,9,Kimi RäikkönenRAI,McLaren Mercedes,1:12.781,3
6,15,Christian KlienKLI,RBR Cosworth,1:12.889,3
7,1,Michael SchumacherMSC,Ferrari,1:12.976,3
8,16,Jarno TrulliTRU,Toyota,1:13.041,3
9,12,Felipe MassaMAS,Sauber Petronas,1:13.151,3
10,2,Rubens BarrichelloBAR,Ferrari,1:13.183,3
11,17,Ralf SchumacherRSC,Toyota,1:13.285,3
12,11,Jacques VilleneuveVIL,Sauber Petronas,1:13.372,3
13,18,Tiago MonteiroMON,Jordan Toyota,1:13.387,3
14,7,Mark WebberWEB,Williams BMW,1:13.538,3
15,8,Antonio PizzoniaPIZ,Williams BMW,1:13.581,3
16,14,David CoulthardCOU,RBR Cosworth,1:13.844,3
17,19,Narain KarthikeyanKAR,Jordan Toyota,1:14.520,3
18,21,Christijan AlbersALB,Minardi Cosworth,1:14.763,3
19,4,Takuma SatoSAT,BAR Honda,,1
20,20,Robert DoornbosDOO,Minardi Cosworth,,2
