Pos,No,Driver,Car,Time,Laps
1,9,Kimi RäikkönenRAI,McLaren Mercedes,2:30.323,6
2,5,Fernando AlonsoALO,Renault,2:30.406,6
3,7,Mark WebberWEB,Williams BMW,2:31.656,6
4,6,Giancarlo FisichellaFIS,Renault,2:32.100,6
5,16,Jarno TrulliTRU,Toyota,2:32.590,6
6,8,Nick HeidfeldHEI,Williams BMW,2:32.883,6
7,14,David CoulthardCOU,RBR Cosworth,2:33.867,6
8,1,Michael SchumacherMSC,Ferrari,2:34.736,6
9,11,Jacques VilleneuveVIL,Sauber Petronas,2:34.936,6
10,2,Rubens BarrichelloBAR,Ferrari,2:34.983,6
11,12,Felipe MassaMAS,Sauber Petronas,2:35.120,6
12,15,Vitantonio LiuzziLIU,RBR Cosworth,2:37.152,6
13,20,Patrick Friesacher FRI,Minardi Cosworth,2:40.810,6
14,21,Christijan AlbersALB,Minardi Cosworth,2:42.206,6
15,18,Tiago MonteiroMON,Jordan Toyota,2:43.078,6
16,19,Narain KarthikeyanKAR,Jordan Toyota,2:43.442,6
17,17,Ralf SchumacherRSC,Toyota,,3
18,10,Juan Pablo MontoyaMOY,McLaren Mercedes,1:14.858,3
