Pos,No,Driver,Car,Time,Laps
1,3,Jenson ButtonBUT,BAR Honda,1:15.217,3
2,1,Michael SchumacherMSC,Ferrari,1:15.475,3
3,5,Fernando AlonsoALO,Renault,1:15.561,3
4,6,Giancarlo FisichellaFIS,Renault,1:15.577,3
5,10,Juan Pablo MontoyaMOY,McLaren Mercedes,1:15.669,3
6,4,Takuma SatoSAT,BAR Honda,1:15.729,3
7,9,Kimi RäikkönenRAI,McLaren Mercedes,1:15.923,3
8,11,Jacques VilleneuveVIL,Sauber Petronas,1:16.116,3
9,16,Jarno TrulliTRU,Toyota,1:16.201,3
10,17,Ralf SchumacherRSC,Toyota,1:16.362,3
11,12,Felipe MassaMAS,Sauber Petronas,1:16.661,3
12,14,David CoulthardCOU,RBR Cosworth,1:16.890,3
13,8,Nick HeidfeldHEI,Williams BMW,1:17.081,3
14,7,Mark WebberWEB,Williams BMW,1:17.749,3
15,21,Christijan AlbersALB,Minardi Cosworth,1:18.214,3
16,15,Christian KlienKLI,RBR Cosworth,1:18.249,3
17,19,Narain KarthikeyanKAR,Jordan Toyota,1:18.664,3
18,18,Tiago MonteiroMON,Jordan Toyota,1:19.034,3
19,20,Patrick Friesacher FRI,Minardi Cosworth,1:19.574,3
20,2,Rubens BarrichelloBAR,Ferrari,,1
