Pos,No,Driver,Car,Time,Laps
1,9,Kimi RäikkönenRAI,McLaren Mercedes,2:31.421,6
2,7,Mark WebberWEB,Williams BMW,2:31.668,6
3,5,Fernando AlonsoALO,Renault,2:31.691,6
4,17,Ralf SchumacherRSC,Toyota,2:31.917,6
5,16,Jarno TrulliTRU,Toyota,2:31.995,6
6,6,Giancarlo FisichellaFIS,Renault,2:32.830,6
7,10,Juan Pablo MontoyaMOY,McLaren Mercedes,2:33.472,6
8,1,Michael SchumacherMSC,Ferrari,2:33.551,6
9,14,David CoulthardCOU,RBR Cosworth,2:34.168,6
10,12,Felipe MassaMAS,Sauber Petronas,2:34.224,6
11,15,Vitantonio LiuzziLIU,RBR Cosworth,2:35.302,6
12,11,Jacques VilleneuveVIL,Sauber Petronas,2:36.480,6
13,19,Narain KarthikeyanKAR,Jordan Toyota,2:39.268,8
14,18,Tiago MonteiroMON,Jordan Toyota,2:39.943,6
15,21,Christijan AlbersALB,Minardi Cosworth,2:41.141,6
16,20,Patrick Friesacher FRI,Minardi Cosworth,2:42.759,6
17,8,Nick HeidfeldHEI,Williams BMW,1:15.038,3
18,2,Rubens BarrichelloBAR,Ferrari,1:15.746,3
