Pos,No,Driver,Car,Time,Laps
1,5,Fernando AlonsoALO,Renault,1:34.080,3
2,6,Giancarlo FisichellaFIS,Renault,1:34.401,3
3,9,Kimi RäikkönenRAI,McLaren Mercedes,1:34.488,3
4,3,Jenson ButtonBUT,BAR Honda,1:34.801,3
5,10,Juan Pablo MontoyaMOY,McLaren Mercedes,1:35.188,3
6,1,Michael SchumacherMSC,Ferrari,1:35.301,3
7,14,David CoulthardCOU,RBR Cosworth,1:35.428,3
8,2,Rubens BarrichelloBAR,Ferrari,1:35.610,3
9,17,Ralf SchumacherRSC,Toyota,1:35.723,3
10,7,Mark WebberWEB,Williams BMW,1:35.739,3
11,12,Felipe MassaMAS,Sauber Petronas,1:35.898,3
12,16,Jarno TrulliTRU,Toyota,1:36.044,3
13,8,Antonio PizzoniaPIZ,Williams BMW,1:36.445,3
14,15,Christian KlienKLI,RBR Cosworth,1:36.472,3
15,19,Narain KarthikeyanKAR,Jordan Toyota,1:36.707,3
16,11,Jacques VilleneuveVIL,Sauber Petronas,1:36.788,3
17,4,Takuma SatoSAT,BAR Honda,1:37.083,3
18,21,Christijan AlbersALB,Minardi Cosworth,1:39.105,3
19,18,Tiago MonteiroMON,Jordan Toyota,1:39.233,3
20,20,Robert DoornbosDOO,Minardi Cosworth,1:39.460,3
