Pos,No,Driver,Car,Time,Laps
1,1,Michael SchumacherMSC,Ferrari,1:19.882,3
2,10,Juan Pablo MontoyaMOY,McLaren Mercedes,1:20.779,3
3,16,Jarno TrulliTRU,Toyota,1:20.839,3
4,9,Kimi RäikkönenRAI,McLaren Mercedes,1:20.891,3
5,17,Ralf SchumacherRSC,Toyota,1:20.964,3
6,5,Fernando AlonsoALO,Renault,1:21.141,3
7,2,Rubens BarrichelloBAR,Ferrari,1:21.158,3
8,3,Jenson ButtonBUT,BAR Honda,1:21.302,3
9,6,Giancarlo FisichellaFIS,Renault,1:21.333,3
10,4,Takuma SatoSAT,BAR Honda,1:21.787,3
11,15,Christian KlienKLI,RBR Cosworth,1:21.937,3
12,8,Nick HeidfeldHEI,Williams BMW,1:22.086,3
13,14,David CoulthardCOU,RBR Cosworth,1:22.279,3
14,12,Felipe MassaMAS,Sauber Petronas,1:22.565,3
15,11,Jacques VilleneuveVIL,Sauber Petronas,1:22.866,3
16,7,Mark WebberWEB,Williams BMW,1:23.495,3
17,21,Christijan AlbersALB,Minardi Cosworth,1:24.443,3
18,19,Narain KarthikeyanKAR,Jordan Toyota,1:25.057,3
19,20,Robert DoornbosDOO,Minardi Cosworth,1:25.484,3
20,18,Tiago MonteiroMON,Jordan Toyota,,1
