Pos,No,Driver,Car,Time,Gap,Laps
1,27,Jean AlesiALE,Ferrari,1:58.207,,14
2,30,Heinz-Harald FrentzenFRE,Sauber Ford,1:58.381,+0.174s,16
3,15,Eddie IrvineIRV,Jordan Peugeot,1:59.124,+0.917s,10
4,1,Michael SchumacherMSC,Benetton Renault,1:59.276,+1.069s,14
5,6,David CoulthardCOU,Williams Renault,1:59.701,+1.494s,15
6,14,Rubens BarrichelloBAR,Jordan Peugeot,2:00.306,+2.099s,11
7,8,Mika HakkinenHAK,McLaren Mercedes,2:00.313,+2.106s,11
8,4,Mika SaloSAL,Tyrrell Yamaha,2:00.611,+2.404s,6
9,28,Gerhard BergerBER,Ferrari,2:00.675,+2.468s,9
10,12,Jos VerstappenVER,Simtek Ford,2:01.293,+3.086s,7
11,24,Luca BadoerBAD,Minardi Ford,2:01.864,+3.657s,9
12,9,Gianni MorbidelliMOR,Footwork Hart,2:01.947,+3.740s,7
13,7,Mark BlundellBLU,McLaren Mercedes,2:02.411,+4.204s,14
14,3,Ukyo KatayamaKAT,Tyrrell Yamaha,2:03.547,+5.340s,9
15,11,Domenico SchiattarellaSCH,Simtek Ford,2:03.603,+5.396s,7
16,23,Pierluigi MartiniMAR,Minardi Ford,2:03.763,+5.556s,9
17,29,Karl WendlingerWEN,Sauber Ford,2:04.039,+5.832s,12
18,2,Johnny HerbertHER,Benetton Renault,2:05.229,+7.022s,5
19,17,Andrea MonterminiMON,Pacific Ilmor,2:08.805,+10.598s,6
20,16,Bertrand GachotGAC,Pacific Ilmor,2:11.024,+12.817s,11
21,10,Taki InoueINO,Footwork Hart,2:11.683,+13.476s,4
22,22,Roberto MorenoMOR,Forti Ford,2:13.848,+15.641s,11
23,25,Aguri SuzukiSUZ,Ligier Mugen Honda,2:16.107,+17.900s,2
24,21,Pedro DinizDIN,Forti Ford,2:17.042,+18.835s,2
25,5,Damon HillHIL,Williams Renault,4:29.056,+150.849s,4
26,26,Olivier PanisPAN,Ligier Mugen Honda,24:10.914,+1332.707s,1
