Pos,No,Driver,Car,Time,Gap,Laps
1,1,Michael SchumacherMSC,Benetton Renault,1:28.145,,23
2,27,Jean AlesiALE,Ferrari,1:28.487,+0.342s,23
3,5,Damon HillHIL,Williams Renault,1:29.281,+1.136s,20
4,6,David CoulthardCOU,Williams Renault,1:29.537,+1.392s,20
5,8,Mika HakkinenHAK,McLaren Mercedes,1:29.641,+1.496s,21
6,14,Rubens BarrichelloBAR,Jordan Peugeot,1:29.798,+1.653s,18
7,15,Eddie IrvineIRV,Jordan Peugeot,1:29.878,+1.733s,21
8,26,Olivier PanisPAN,Ligier Mugen Honda,1:30.134,+1.989s,19
9,2,Johnny HerbertHER,Benetton Renault,1:30.175,+2.030s,16
10,9,Gianni MorbidelliMOR,Footwork Hart,1:30.429,+2.284s,20
11,25,Martin BrundleBRU,Ligier Mugen Honda,1:30.588,+2.443s,23
12,7,Mark BlundellBLU,McLaren Mercedes,1:30.689,+2.544s,18
13,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:30.895,+2.750s,21
14,28,Gerhard BergerBER,Ferrari,1:30.991,+2.846s,3
15,30,Heinz-Harald FrentzenFRE,Sauber Ford,1:31.265,+3.120s,20
16,4,Mika SaloSAL,Tyrrell Yamaha,1:31.484,+3.339s,23
17,29,Jean-Christophe BoullionBOU,Sauber Ford,1:31.923,+3.778s,23
18,23,Pierluigi MartiniMAR,Minardi Ford,1:32.201,+4.056s,21
19,24,Luca BadoerBAD,Minardi Ford,1:33.161,+5.016s,20
20,17,Andrea MonterminiMON,Pacific Ilmor,1:33.829,+5.684s,22
21,22,Roberto MorenoMOR,Forti Ford,1:35.036,+6.891s,22
22,10,Taki InoueINO,Footwork Hart,1:35.188,+7.043s,23
23,16,Bertrand GachotGAC,Pacific Ilmor,1:35.834,+7.689s,7
24,21,Pedro DinizDIN,Forti Ford,1:37.990,+9.845s,18
