Pos,No,Driver,Car,Time,Gap,Laps
1,1,Michael SchumacherMSC,Benetton Renault,1:16.057,,21
2,5,Damon HillHIL,Williams Renault,1:16.417,+0.360s,23
3,6,David CoulthardCOU,Williams Renault,1:16.480,+0.423s,22
4,28,Gerhard BergerBER,Ferrari,1:17.126,+1.069s,14
5,27,Jean AlesiALE,Ferrari,1:17.303,+1.246s,17
6,7,Mark BlundellBLU,McLaren Mercedes,1:17.995,+1.938s,23
7,15,Eddie IrvineIRV,Jordan Peugeot,1:18.002,+1.945s,22
8,30,Heinz-Harald FrentzenFRE,Sauber Ford,1:18.059,+2.002s,20
9,29,Jean-Christophe BoullionBOU,Sauber Ford,1:18.292,+2.235s,23
10,2,Johnny HerbertHER,Benetton Renault,1:18.372,+2.315s,22
11,14,Rubens BarrichelloBAR,Jordan Peugeot,1:18.377,+2.320s,18
12,26,Olivier PanisPAN,Ligier Mugen Honda,1:18.839,+2.782s,23
13,23,Pedro LamyLAM,Minardi Ford,1:19.125,+3.068s,23
14,4,Mika SaloSAL,Tyrrell Yamaha,1:19.137,+3.080s,20
15,8,Jan MagnussenMAG,McLaren Mercedes,1:19.394,+3.337s,23
16,25,Aguri SuzukiSUZ,Ligier Mugen Honda,1:19.647,+3.590s,20
17,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:19.904,+3.847s,23
18,24,Luca BadoerBAD,Minardi Ford,1:20.266,+4.209s,23
19,9,Gianni MorbidelliMOR,Footwork Hart,1:20.323,+4.266s,21
20,17,Andrea MonterminiMON,Pacific Ilmor,1:20.926,+4.869s,5
21,10,Taki InoueINO,Footwork Hart,1:21.292,+5.235s,8
22,22,Roberto MorenoMOR,Forti Ford,1:21.963,+5.906s,23
23,21,Pedro DinizDIN,Forti Ford,1:21.992,+5.935s,23
24,16,Bertrand GachotGAC,Pacific Ilmor,1:42.770,+26.713s,2
