Pos,No,Driver,Car,Time,Gap,Laps
1,5,Damon HillHIL,Williams Renault,1:15.396,,23
2,27,Jean AlesiALE,Ferrari,1:16.236,+0.840s,23
3,28,Gerhard BergerBER,Ferrari,1:16.319,+0.923s,23
4,8,Mika HakkinenHAK,McLaren Mercedes,1:16.408,+1.012s,22
5,6,David CoulthardCOU,Williams Renault,1:16.538,+1.142s,23
6,1,Michael SchumacherMSC,Benetton Renault,1:16.551,+1.155s,19
7,30,Heinz-Harald FrentzenFRE,Sauber Ford,1:17.170,+1.774s,23
8,7,Mark BlundellBLU,McLaren Mercedes,1:17.241,+1.845s,23
9,14,Rubens BarrichelloBAR,Jordan Peugeot,1:17.327,+1.931s,23
10,2,Johnny HerbertHER,Benetton Renault,1:17.378,+1.982s,22
11,26,Olivier PanisPAN,Ligier Mugen Honda,1:17.970,+2.574s,23
12,25,Martin BrundleBRU,Ligier Mugen Honda,1:17.972,+2.576s,23
13,15,Eddie IrvineIRV,Jordan Peugeot,1:17.980,+2.584s,20
14,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:18.548,+3.152s,22
15,4,Mika SaloSAL,Tyrrell Yamaha,1:18.805,+3.409s,23
16,9,Gianni MorbidelliMOR,Footwork Hart,1:18.965,+3.569s,23
17,29,Karl WendlingerWEN,Sauber Ford,1:19.093,+3.697s,21
18,24,Luca BadoerBAD,Minardi Ford,1:19.646,+4.250s,23
19,23,Pedro LamyLAM,Minardi Ford,1:19.723,+4.327s,23
20,10,Taki InoueINO,Footwork Hart,1:20.506,+5.110s,19
21,22,Roberto MorenoMOR,Forti Ford,1:20.865,+5.469s,23
22,16,Bertrand GachotGAC,Pacific Ilmor,1:21.795,+6.399s,13
23,17,Andrea MonterminiMON,Pacific Ilmor,1:21.929,+6.533s,12
24,21,Pedro DinizDIN,Forti Ford,1:22.617,+7.221s,23
