Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:35.997,1:35.181,1:34.538,11
2,16,Charles LeclercLEC,Ferrari,1:35.999,1:35.386,1:34.593,14
3,44,Lewis HamiltonHAM,Mercedes,1:36.393,1:35.887,1:34.607,12
4,4,Lando NorrisNOR,McLaren Mercedes,1:36.499,1:35.594,1:34.639,15
5,81,Oscar PiastriPIA,McLaren Mercedes,1:36.703,1:35.753,1:34.894,15
6,55,Carlos SainzSAI,Ferrari,1:36.268,1:35.542,1:34.939,14
7,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:36.347,1:35.718,1:35.041,14
8,63,George RussellRUS,Mercedes,1:36.281,1:35.847,1:35.199,12
9,23,Alexander AlbonALB,Williams Mercedes,1:36.230,1:35.947,1:35.366,12
10,10,Pierre GaslyGAS,Alpine Renault,1:36.595,1:35.785,1:35.897,12
11,3,Daniel RicciardoRIC,AlphaTauri Honda RBPT,1:36.737,1:35.978,,9
12,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:36.365,1:36.087,,9
13,31,Esteban OconOCO,Alpine Renault,1:36.372,1:36.137,,9
14,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:36.575,1:36.181,,11
15,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,1:36.554,1:36.182,,11
16,27,Nico HulkenbergHUL,Haas Ferrari,1:36.749,,,6
17,20,Kevin MagnussenMAG,Haas Ferrari,1:36.922,,,6
18,77,Valtteri BottasBOT,Alfa Romeo Ferrari,1:36.922,,,6
19,22,Yuki TsunodaTSU,AlphaTauri Honda RBPT,1:36.945,,,5
20,2,Logan SargeantSAR,Williams Mercedes,1:37.186,,,6
