Pos,No,Driver,Car,Time
1,44,Lewis HamiltonHAM,Mercedes,1:49.834
2,5,Sebastian VettelVET,Ferrari,1:49.908
3,6,Nico RosbergROS,Mercedes,1:50.299
4,3,Daniel RicciardoRIC,Red Bull Racing Renault,1:51.541
5,26,Daniil KvyatKVY,Red Bull Racing Renault,1:51.951
6,33,Max VerstappenVER,STR Renault,1:51.981
7,19,Felipe MassaMAS,Williams Mercedes,1:52.473
8,77,Valtteri BottasBOT,Williams Mercedes,1:53.179
9,9,Marcus EricssonERI,Sauber Ferrari,1:53.261
10,8,Romain GrosjeanGRO,Lotus Mercedes,1:52.981
11,7,Kimi RäikkönenRAI,Ferrari,1:42.173
12,13,Pastor MaldonadoMAL,Lotus Mercedes,1:42.198
13,27,Nico HulkenbergHUL,Force India Mercedes,1:43.023
14,11,Sergio PerezPER,Force India Mercedes,1:43.469
15,55,Carlos SainzSAI,STR Renault,1:43.701
16,12,Felipe NasrNAS,Sauber Ferrari,1:41.308
17,22,Jenson ButtonBUT,McLaren Honda,1:41.636
18,14,Fernando AlonsoALO,McLaren Honda,1:41.746
19,98,Roberto MerhiMER,Marussia Ferrari,1:46.677
