Pos,No,Driver,Car,Time,Gap,Laps
1,5,David CoulthardCOU,McLaren Mercedes,1:15.523,,22
2,7,Jarno TrulliTRU,Renault,1:15.617,+0.094s,11
3,8,Fernando AlonsoALO,Renault,1:15.797,+0.274s,9
4,14,Mark WebberWEB,Jaguar Cosworth,1:15.799,+0.276s,25
5,3,Juan Pablo MontoyaMOY,Williams BMW,1:15.890,+0.367s,23
6,21,Cristiano da MattaDAM,Toyota,1:16.109,+0.586s,28
7,17,Jenson ButtonBUT,BAR Honda,1:16.187,+0.664s,26
8,4,Ralf SchumacherRSC,Williams BMW,1:16.401,+0.878s,24
9,15,Justin WilsonWIL,Jaguar Cosworth,1:16.568,+1.045s,21
10,20,Olivier PanisPAN,Toyota,1:16.602,+1.079s,21
11,1,Michael SchumacherMSC,Ferrari,1:16.814,+1.291s,30
12,16,Jacques VilleneuveVIL,BAR Honda,1:16.945,+1.422s,24
13,11,Giancarlo FisichellaFIS,Jordan Ford,1:17.050,+1.527s,17
14,10,Heinz-Harald FrentzenFRE,Sauber Petronas,1:17.137,+1.614s,23
15,6,Kimi RäikkönenRAI,McLaren Mercedes,1:17.284,+1.761s,23
16,2,Rubens BarrichelloBAR,Ferrari,1:17.361,+1.838s,25
17,12,Ralph FirmanFIR,Jordan Ford,1:17.842,+2.319s,19
18,9,Nick HeidfeldHEI,Sauber Petronas,1:18.121,+2.598s,26
19,19,Jos VerstappenVER,Minardi Cosworth,1:18.791,+3.268s,11
20,18,Nicolas KiesaKIE,Minardi Cosworth,1:19.030,+3.507s,15
