Pos,No,Driver,Car,Time,Gap,Laps
1,1,Michael SchumacherMSC,Ferrari,1:28.060,,9
2,5,David CoulthardCOU,McLaren Mercedes,1:28.188,+0.128s,10
3,17,Jenson ButtonBUT,BAR Honda,1:28.903,+0.843s,10
4,7,Jarno TrulliTRU,Renault,1:29.607,+1.547s,4
5,3,Juan Pablo MontoyaMOY,Williams BMW,1:30.885,+2.825s,10
6,2,Rubens BarrichelloBAR,Ferrari,1:31.462,+3.402s,6
7,20,Olivier PanisPAN,Toyota,1:31.518,+3.458s,5
8,21,Cristiano da MattaDAM,Toyota,1:31.548,+3.488s,6
9,11,Giancarlo FisichellaFIS,Jordan Ford,1:32.603,+4.543s,7
10,10,Heinz-Harald FrentzenFRE,Sauber Petronas,1:33.131,+5.071s,9
11,14,Mark WebberWEB,Jaguar Cosworth,1:33.714,+5.654s,3
12,4,Ralf SchumacherRSC,Williams BMW,1:35.013,+6.953s,9
13,19,Jos VerstappenVER,Minardi Cosworth,1:37.226,+9.166s,3
14,9,Nick HeidfeldHEI,Sauber Petronas,1:38.728,+10.668s,7
15,16,Jacques VilleneuveVIL,BAR Honda,1:48.359,+20.299s,8
16,12,Ralph FirmanFIR,Jordan Ford,1:57.783,+29.723s,3
17,6,Kimi RäikkönenRAI,McLaren Mercedes,,,2
18,15,Antonio PizzoniaPIZ,Jaguar Cosworth,,,2
19,18,Justin WilsonWIL,Minardi Cosworth,,,2
20,8,Fernando AlonsoALO,Renault,,,3
