Pos,No,Driver,Car,Time,Gap,Laps
1,7,Jarno TrulliTRU,Renault,1:11.153,,18
2,4,Ralf SchumacherRSC,Williams BMW,1:11.339,+0.186s,22
3,20,Olivier PanisPAN,Toyota,1:11.388,+0.235s,20
4,2,Rubens BarrichelloBAR,Ferrari,1:11.499,+0.346s,22
5,1,Michael SchumacherMSC,Ferrari,1:11.656,+0.503s,22
6,8,Fernando AlonsoALO,Renault,1:11.692,+0.539s,24
7,14,Mark WebberWEB,Jaguar Cosworth,1:11.794,+0.641s,21
8,3,Juan Pablo MontoyaMOY,Williams BMW,1:11.842,+0.689s,19
9,6,Kimi RäikkönenRAI,McLaren Mercedes,1:11.876,+0.723s,26
10,5,David CoulthardCOU,McLaren Mercedes,1:11.967,+0.814s,27
11,21,Cristiano da MattaDAM,Toyota,1:12.084,+0.931s,23
12,17,Jenson ButtonBUT,BAR Honda,1:12.331,+1.178s,28
13,15,Justin WilsonWIL,Jaguar Cosworth,1:12.387,+1.234s,18
14,16,Jacques VilleneuveVIL,BAR Honda,1:12.656,+1.503s,29
15,11,Giancarlo FisichellaFIS,Jordan Ford,1:12.849,+1.696s,8
16,12,Ralph FirmanFIR,Jordan Ford,1:13.167,+2.014s,19
17,18,Nicolas KiesaKIE,Minardi Cosworth,1:13.537,+2.384s,19
18,9,Nick HeidfeldHEI,Sauber Petronas,1:13.601,+2.448s,20
19,10,Heinz-Harald FrentzenFRE,Sauber Petronas,1:13.881,+2.728s,22
20,19,Jos VerstappenVER,Minardi Cosworth,1:18.255,+7.102s,15
