Pos,No,Driver,Car,Time,Gap,Laps
1,1,Fernando AlonsoALO,McLaren Mercedes,1:16.550,,37
2,5,Felipe MassaMAS,Ferrari,1:17.090,+0.540s,34
3,2,Lewis HamiltonHAM,McLaren Mercedes,1:17.307,+0.757s,36
4,6,Kimi RäikkönenRAI,Ferrari,1:17.515,+0.965s,37
5,9,Nick HeidfeldHEI,Sauber BMW,1:17.827,+1.277s,42
6,16,Nico RosbergROS,Williams Toyota,1:17.992,+1.442s,25
7,8,Rubens BarrichelloBAR,Honda,1:18.108,+1.558s,38
8,3,Giancarlo FisichellaFIS,Renault,1:18.130,+1.580s,40
9,15,Mark WebberWEB,Red Bull Renault,1:18.181,+1.631s,40
10,22,Takuma SatoSAT,Super Aguri Honda,1:18.309,+1.759s,38
11,14,David CoulthardCOU,Red Bull Renault,1:18.316,+1.766s,40
12,10,Robert KubicaKUB,Sauber BMW,1:18.399,+1.849s,29
13,7,Jenson ButtonBUT,Honda,1:18.474,+1.924s,36
14,18,Vitantonio LiuzziLIU,STR Ferrari,1:18.493,+1.943s,33
15,23,Anthony DavidsonDAV,Super Aguri Honda,1:18.545,+1.995s,35
16,19,Scott SpeedSPE,STR Ferrari,1:18.602,+2.052s,37
17,17,Alexander WurzWUR,Williams Toyota,1:18.871,+2.321s,25
18,12,Jarno TrulliTRU,Toyota,1:18.895,+2.345s,16
19,11,Ralf SchumacherRSC,Toyota,1:19.331,+2.781s,16
20,21,Christijan AlbersALB,Spyker Ferrari,1:19.453,+2.903s,38
21,20,Adrian SutilSUT,Spyker Ferrari,1:19.662,+3.112s,25
22,4,Heikki KovalainenKOV,Renault,1:20.519,+3.969s,13
