Pos,No,Driver,Car,Time
1,1,Max VerstappenVER,Red Bull Racing RBPT,1:04.984
2,16,Charles LeclercLEC,Ferrari,1:05.013
3,55,Carlos SainzSAI,Ferrari,1:05.066
4,63,George RussellRUS,Mercedes,1:05.431
5,31,Esteban OconOCO,Alpine Renault,1:05.726
6,20,Kevin MagnussenMAG,Haas Ferrari,1:05.879
7,47,Mick SchumacherMSC,Haas Ferrari,1:06.011
8,14,Fernando AlonsoALO,Alpine Renault,1:06.103
9,44,Lewis HamiltonHAM,Mercedes,1:13.151
10,10,Pierre GaslyGAS,AlphaTauri RBPT,1:06.160
11,23,Alexander AlbonALB,Williams Mercedes,1:06.230
12,77,Valtteri BottasBOT,Alfa Romeo Ferrari,1:06.319
13,11,Sergio PerezPER,Red Bull Racing RBPT,1:06.458
14,22,Yuki TsunodaTSU,AlphaTauri RBPT,1:06.851
15,4,Lando NorrisNOR,McLaren Mercedes,1:25.847
16,3,Daniel RicciardoRIC,McLaren Mercedes,1:06.613
17,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:06.847
18,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,1:06.901
19,6,Nicholas LatifiLAT,Williams Mercedes,1:07.003
20,5,Sebastian VettelVET,Aston Martin Aramco Mercedes,1:07.083
