Pos,No,Driver,Car,Time
1,20,Kevin MagnussenMAG,Haas Ferrari,1:11.674
2,1,Max VerstappenVER,Red Bull Racing RBPT,1:11.877
3,63,George RussellRUS,Mercedes,1:12.059
4,4,Lando NorrisNOR,McLaren Mercedes,1:12.263
5,55,Carlos SainzSAI,Ferrari,1:12.357
6,31,Esteban OconOCO,Alpine Renault,1:12.425
7,14,Fernando AlonsoALO,Alpine Renault,1:12.504
8,44,Lewis HamiltonHAM,Mercedes,1:12.611
9,11,Sergio PerezPER,Red Bull Racing RBPT,1:15.601
10,16,Charles LeclercLEC,Ferrari,
11,23,Alexander AlbonALB,Williams Mercedes,1:11.631
12,10,Pierre GaslyGAS,AlphaTauri RBPT,1:11.675
13,5,Sebastian VettelVET,Aston Martin Aramco Mercedes,1:11.678
14,3,Daniel RicciardoRIC,McLaren Mercedes,1:12.140
15,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:12.210
16,6,Nicholas LatifiLAT,Williams Mercedes,1:15.095
17,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,1:15.197
18,77,Valtteri BottasBOT,Alfa Romeo Ferrari,1:15.486
19,22,Yuki TsunodaTSU,AlphaTauri RBPT,1:16.264
20,47,Mick SchumacherMSC,Haas Ferrari,1:16.361
