Pos,No,Driver,Car,Time,Laps
1,1,Michael SchumacherMSC,Ferrari,1:20.447,12
2,3,Mika HakkinenHAK,McLaren Mercedes,1:20.529,12
3,4,David CoulthardCOU,McLaren Mercedes,1:20.927,12
4,12,Jarno TrulliTRU,Jordan Honda,1:20.930,10
5,11,Heinz-Harald FrentzenFRE,Jordan Honda,1:21.217,12
6,2,Rubens BarrichelloBAR,Ferrari,1:21.715,12
7,17,Kimi RäikkönenRAI,Sauber Petronas,1:22.023,12
8,6,Juan Pablo MontoyaMOY,Williams BMW,1:22.219,9
9,16,Nick HeidfeldHEI,Sauber Petronas,1:22.223,11
10,5,Ralf SchumacherRSC,Williams BMW,1:22.283,9
11,9,Olivier PanisPAN,BAR Honda,1:22.316,12
12,10,Jacques VilleneuveVIL,BAR Honda,1:22.916,11
13,19,Pedro de la RosaDLR,Jaguar Cosworth,1:23.273,12
14,22,Jean AlesiALE,Prost Acer,1:23.392,12
15,18,Eddie IrvineIRV,Jaguar Cosworth,1:23.439,11
16,23,Luciano BurtiBUR,Prost Acer,1:23.735,12
17,14,Jos VerstappenVER,Arrows Asiatech,1:24.067,12
18,8,Jenson ButtonBUT,Benetton Renault,1:24.123,12
19,7,Giancarlo FisichellaFIS,Benetton Renault,1:24.275,12
20,15,Enrique BernoldiBER,Arrows Asiatech,1:24.606,10
21,21,Fernando AlonsoALO,Minardi European,1:24.792,12
NC,20,Tarso MarquesMAR,Minardi European,1:26.506,12
