Pos,No,Driver,Car,Time,Laps
1,5,Ralf SchumacherRSC,Williams BMW,1:12.989,10
2,1,Michael SchumacherMSC,Ferrari,1:12.999,12
3,4,David CoulthardCOU,McLaren Mercedes,1:13.186,12
4,3,Mika HakkinenHAK,McLaren Mercedes,1:13.268,12
5,12,Jarno TrulliTRU,Jordan Honda,1:13.310,12
6,6,Juan Pablo MontoyaMOY,Williams BMW,1:13.625,12
7,11,Heinz-Harald FrentzenFRE,Jordan Honda,1:13.815,11
8,2,Rubens BarrichelloBAR,Ferrari,1:13.867,11
9,16,Nick HeidfeldHEI,Sauber Petronas,1:14.095,12
10,10,Jacques VilleneuveVIL,BAR Honda,1:14.096,12
11,9,Olivier PanisPAN,BAR Honda,1:14.181,12
12,18,Eddie IrvineIRV,Jaguar Cosworth,1:14.441,10
13,17,Kimi RäikkönenRAI,Sauber Petronas,1:14.536,12
14,19,Pedro de la RosaDLR,Jaguar Cosworth,1:15.020,11
15,23,Luciano BurtiBUR,Prost Acer,1:15.072,11
16,7,Giancarlo FisichellaFIS,Benetton Renault,1:15.220,11
17,8,Jenson ButtonBUT,Benetton Renault,1:15.420,12
18,14,Jos VerstappenVER,Arrows Asiatech,1:15.707,12
19,22,Jean AlesiALE,Prost Acer,1:15.774,11
20,15,Enrique BernoldiBER,Arrows Asiatech,1:15.828,12
21,21,Fernando AlonsoALO,Minardi European,1:16.039,12
22,20,Tarso MarquesMAR,Minardi European,1:16.500,11
