Pos,No,Driver,Car,Time,Laps
1,6,Juan Pablo MontoyaMOY,Williams BMW,1:38.117,8
2,5,Ralf SchumacherRSC,Williams BMW,1:38.136,12
3,3,Mika HakkinenHAK,McLaren Mercedes,1:38.811,10
4,1,Michael SchumacherMSC,Ferrari,1:38.941,11
5,4,David CoulthardCOU,McLaren Mercedes,1:39.574,9
6,2,Rubens BarrichelloBAR,Ferrari,1:39.682,11
7,16,Nick HeidfeldHEI,Sauber Petronas,1:39.921,12
8,17,Kimi RäikkönenRAI,Sauber Petronas,1:40.072,12
9,19,Pedro de la RosaDLR,Jaguar Cosworth,1:40.265,12
10,12,Jarno TrulliTRU,Jordan Honda,1:40.322,8
11,18,Eddie IrvineIRV,Jaguar Cosworth,1:40.371,12
12,10,Jacques VilleneuveVIL,BAR Honda,1:40.437,12
13,9,Olivier PanisPAN,BAR Honda,1:40.610,11
14,22,Jean AlesiALE,Prost Acer,1:40.724,12
15,11,Ricardo ZontaZON,Jordan Honda,1:41.174,12
16,23,Luciano BurtiBUR,Prost Acer,1:41.213,11
17,7,Giancarlo FisichellaFIS,Benetton Renault,1:41.299,12
18,8,Jenson ButtonBUT,Benetton Renault,1:41.438,10
19,15,Enrique BernoldiBER,Arrows Asiatech,1:41.668,11
20,14,Jos VerstappenVER,Arrows Asiatech,1:41.870,11
21,21,Fernando AlonsoALO,Minardi European,1:41.913,12
22,20,Tarso MarquesMAR,Minardi European,1:42.716,11
