Pos,No,Driver,Car,Time,Laps
1,1,Michael SchumacherMSC,Ferrari,1:32.484,9
2,6,Juan Pablo MontoyaMOY,Williams BMW,1:33.184,12
3,5,Ralf SchumacherRSC,Williams BMW,1:33.297,12
4,2,Rubens BarrichelloBAR,Ferrari,1:33.323,11
5,3,Mika HakkinenHAK,McLaren Mercedes,1:33.662,11
6,7,Giancarlo FisichellaFIS,Benetton Renault,1:33.830,11
7,4,David CoulthardCOU,McLaren Mercedes,1:33.916,11
8,11,Jarno TrulliTRU,Jordan Honda,1:34.002,12
9,8,Jenson ButtonBUT,Benetton Renault,1:34.375,12
10,16,Nick HeidfeldHEI,Sauber Petronas,1:34.386,12
11,12,Jean AlesiALE,Jordan Honda,1:34.420,12
12,17,Kimi RäikkönenRAI,Sauber Petronas,1:34.581,11
13,18,Eddie IrvineIRV,Jaguar Cosworth,1:34.851,11
14,10,Jacques VilleneuveVIL,BAR Honda,1:35.109,12
15,22,Heinz-Harald FrentzenFRE,Prost Acer,1:35.132,11
16,19,Pedro de la RosaDLR,Jaguar Cosworth,1:35.639,12
17,9,Olivier PanisPAN,BAR Honda,1:35.766,12
18,21,Fernando AlonsoALO,Minardi European,1:36.410,11
19,23,Tomas EngeENG,Prost Acer,1:36.446,10
20,15,Enrique BernoldiBER,Arrows Asiatech,1:36.885,12
21,14,Jos VerstappenVER,Arrows Asiatech,1:36.973,11
22,20,Alex YoongYOO,Minardi European,1:38.246,11
