Pos,No,Driver,Car,Time,Laps
1,4,David CoulthardCOU,McLaren Mercedes,1:17.430,12
2,1,Michael SchumacherMSC,Ferrari,1:17.631,11
3,3,Mika HakkinenHAK,McLaren Mercedes,1:17.749,12
4,2,Rubens BarrichelloBAR,Ferrari,1:17.856,12
5,5,Ralf SchumacherRSC,Williams BMW,1:18.029,11
6,18,Eddie IrvineIRV,Jaguar Cosworth,1:18.432,12
7,6,Juan Pablo MontoyaMOY,Williams BMW,1:18.751,12
8,12,Jarno TrulliTRU,Jordan Honda,1:18.921,12
9,10,Jacques VilleneuveVIL,BAR Honda,1:19.086,12
10,7,Giancarlo FisichellaFIS,Benetton Renault,1:19.220,11
11,22,Jean AlesiALE,Prost Acer,1:19.245,12
12,9,Olivier PanisPAN,BAR Honda,1:19.294,12
13,11,Heinz-Harald FrentzenFRE,Jordan Honda,1:19.316,11
14,19,Pedro de la RosaDLR,Jaguar Cosworth,1:20.033,12
15,17,Kimi RäikkönenRAI,Sauber Petronas,1:20.081,12
16,16,Nick HeidfeldHEI,Sauber Petronas,1:20.261,12
17,8,Jenson ButtonBUT,Benetton Renault,1:20.342,12
18,21,Fernando AlonsoALO,Minardi European,1:20.788,12
19,14,Jos VerstappenVER,Arrows Asiatech,1:20.823,12
20,15,Enrique BernoldiBER,Arrows Asiatech,1:21.336,11
21,23,Luciano BurtiBUR,Prost Acer,1:21.771,12
22,20,Tarso MarquesMAR,Minardi European,1:22.201,12
