Pos,No,Driver,Car,Time,Laps
1,1,Michael SchumacherMSC,Ferrari,1:15.782,6
2,5,Ralf SchumacherRSC,Williams BMW,1:16.297,8
3,4,David CoulthardCOU,McLaren Mercedes,1:16.423,12
4,12,Jarno TrulliTRU,Jordan Honda,1:16.459,10
5,2,Rubens BarrichelloBAR,Ferrari,1:16.760,11
6,9,Olivier PanisPAN,BAR Honda,1:16.771,10
7,17,Kimi RäikkönenRAI,Sauber Petronas,1:16.875,11
8,3,Mika HakkinenHAK,McLaren Mercedes,1:16.979,12
9,10,Jacques VilleneuveVIL,BAR Honda,1:17.035,11
10,6,Juan Pablo MontoyaMOY,Williams BMW,1:17.123,12
11,16,Nick HeidfeldHEI,Sauber Petronas,1:17.165,11
12,11,Ricardo ZontaZON,Jordan Honda,1:17.328,11
13,14,Jos VerstappenVER,Arrows Asiatech,1:17.903,10
14,19,Pedro de la RosaDLR,Jaguar Cosworth,1:18.015,12
15,18,Eddie IrvineIRV,Jaguar Cosworth,1:18.016,12
16,22,Jean AlesiALE,Prost Acer,1:18.178,10
17,15,Enrique BernoldiBER,Arrows Asiatech,1:18.575,11
18,7,Giancarlo FisichellaFIS,Benetton Renault,1:18.622,11
19,23,Luciano BurtiBUR,Prost Acer,1:18.753,11
20,8,Jenson ButtonBUT,Benetton Renault,1:19.033,12
21,20,Tarso MarquesMAR,Minardi European,1:20.690,12
