Pos,No,Driver,Car,Time,Laps
1,1,Michael SchumacherMSC,Ferrari,1:11.708,9
2,3,Mika HakkinenHAK,McLaren Mercedes,1:11.945,11
3,5,Ralf SchumacherRSC,Williams BMW,1:11.986,11
4,6,Juan Pablo MontoyaMOY,Williams BMW,1:12.252,11
5,2,Rubens BarrichelloBAR,Ferrari,1:12.327,12
6,16,Nick HeidfeldHEI,Sauber Petronas,1:12.434,11
7,4,David CoulthardCOU,McLaren Mercedes,1:12.500,12
8,11,Jarno TrulliTRU,Jordan Honda,1:12.605,11
9,12,Jean AlesiALE,Jordan Honda,1:12.607,12
10,8,Jenson ButtonBUT,Benetton Renault,1:12.805,12
11,17,Kimi RäikkönenRAI,Sauber Petronas,1:12.881,12
12,7,Giancarlo FisichellaFIS,Benetton Renault,1:12.942,12
13,9,Olivier PanisPAN,BAR Honda,1:13.122,12
14,18,Eddie IrvineIRV,Jaguar Cosworth,1:13.189,12
15,22,Heinz-Harald FrentzenFRE,Prost Acer,1:13.281,11
16,19,Pedro de la RosaDLR,Jaguar Cosworth,1:13.679,12
17,21,Fernando AlonsoALO,Minardi European,1:13.991,12
18,10,Jacques VilleneuveVIL,BAR Honda,1:14.012,12
19,15,Enrique BernoldiBER,Arrows Asiatech,1:14.129,10
20,14,Jos VerstappenVER,Arrows Asiatech,1:14.138,12
21,23,Tomas EngeENG,Prost Acer,1:14.185,11
22,20,Alex YoongYOO,Minardi European,1:15.247,12
