Pos,No,Driver,Car,Time,Laps
1,4,David CoulthardCOU,McLaren Mercedes,1:23.054,12
2,3,Mika HakkinenHAK,McLaren Mercedes,1:23.282,12
3,5,Ralf SchumacherRSC,Williams BMW,1:23.357,12
4,1,Michael SchumacherMSC,Ferrari,1:23.593,12
5,12,Jarno TrulliTRU,Jordan Honda,1:23.658,12
6,2,Rubens BarrichelloBAR,Ferrari,1:23.786,10
7,6,Juan Pablo MontoyaMOY,Williams BMW,1:24.141,12
8,9,Olivier PanisPAN,BAR Honda,1:24.213,12
9,11,Heinz-Harald FrentzenFRE,Jordan Honda,1:24.436,11
10,17,Kimi RäikkönenRAI,Sauber Petronas,1:24.671,12
11,10,Jacques VilleneuveVIL,BAR Honda,1:24.769,12
12,16,Nick HeidfeldHEI,Sauber Petronas,1:25.007,12
13,18,Eddie IrvineIRV,Jaguar Cosworth,1:25.392,12
14,22,Jean AlesiALE,Prost Acer,1:25.411,12
15,19,Luciano BurtiBUR,Jaguar Cosworth,1:25.572,12
16,15,Enrique BernoldiBER,Arrows Asiatech,1:25.872,12
17,14,Jos VerstappenVER,Arrows Asiatech,1:26.062,12
18,21,Fernando AlonsoALO,Minardi European,1:26.855,12
19,7,Giancarlo FisichellaFIS,Benetton Renault,1:26.902,11
20,23,Gaston MazzacaneMAZ,Prost Acer,1:27.750,12
21,8,Jenson ButtonBUT,Benetton Renault,1:27.758,11
22,20,Tarso MarquesMAR,Minardi European,1:28.281,12
