Pos,No,Driver,Car,Time,Laps
1,1,Michael SchumacherMSC,Ferrari,1:18.201,8
2,3,Mika HakkinenHAK,McLaren Mercedes,1:18.286,12
3,4,David CoulthardCOU,McLaren Mercedes,1:18.635,12
4,2,Rubens BarrichelloBAR,Ferrari,1:18.674,11
5,5,Ralf SchumacherRSC,Williams BMW,1:19.016,12
6,12,Jarno TrulliTRU,Jordan Honda,1:19.093,12
7,10,Jacques VilleneuveVIL,BAR Honda,1:19.122,10
8,11,Heinz-Harald FrentzenFRE,Jordan Honda,1:19.150,12
9,17,Kimi RäikkönenRAI,Sauber Petronas,1:19.229,12
10,16,Nick HeidfeldHEI,Sauber Petronas,1:19.232,11
11,9,Olivier PanisPAN,BAR Honda,1:19.479,11
12,6,Juan Pablo MontoyaMOY,Williams BMW,1:19.660,11
13,18,Eddie IrvineIRV,Jaguar Cosworth,1:20.326,12
14,23,Luciano BurtiBUR,Prost Acer,1:20.585,12
15,22,Jean AlesiALE,Prost Acer,1:20.601,12
16,15,Enrique BernoldiBER,Arrows Asiatech,1:20.696,12
17,14,Jos VerstappenVER,Arrows Asiatech,1:20.737,11
18,21,Fernando AlonsoALO,Minardi European,1:21.037,12
19,7,Giancarlo FisichellaFIS,Benetton Renault,1:21.065,12
20,19,Pedro de la RosaDLR,Jaguar Cosworth,1:21.338,10
21,8,Jenson ButtonBUT,Benetton Renault,1:21.916,11
22,20,Tarso MarquesMAR,Minardi European,1:22.522,12
