Pos,No,Driver,Car,Time,Laps
1,1,Michael SchumacherMSC,Ferrari,1:14.059,6
2,4,David CoulthardCOU,McLaren Mercedes,1:14.860,11
3,2,Rubens BarrichelloBAR,Ferrari,1:14.953,11
4,5,Ralf SchumacherRSC,Williams BMW,1:15.095,12
5,11,Jarno TrulliTRU,Jordan Honda,1:15.394,10
6,3,Mika HakkinenHAK,McLaren Mercedes,1:15.411,11
7,16,Nick HeidfeldHEI,Sauber Petronas,1:15.739,9
8,6,Juan Pablo MontoyaMOY,Williams BMW,1:15.881,11
9,17,Kimi RäikkönenRAI,Sauber Petronas,1:15.906,12
10,10,Jacques VilleneuveVIL,BAR Honda,1:16.212,11
11,9,Olivier PanisPAN,BAR Honda,1:16.382,8
12,12,Jean AlesiALE,Jordan Honda,1:16.471,12
13,19,Pedro de la RosaDLR,Jaguar Cosworth,1:16.543,10
14,18,Eddie IrvineIRV,Jaguar Cosworth,1:16.607,11
15,7,Giancarlo FisichellaFIS,Benetton Renault,1:16.632,11
16,22,Heinz-Harald FrentzenFRE,Prost Acer,1:17.196,12
17,8,Jenson ButtonBUT,Benetton Renault,1:17.535,12
18,21,Fernando AlonsoALO,Minardi European,1:17.624,11
19,23,Luciano BurtiBUR,Prost Acer,1:18.238,12
20,15,Enrique BernoldiBER,Arrows Asiatech,1:18.258,11
21,14,Jos VerstappenVER,Arrows Asiatech,1:18.389,12
22,20,Tarso MarquesMAR,Minardi European,1:19.139,11
