Pos,No,Driver,Car,Time,Laps
1,6,Juan Pablo MontoyaMOY,Williams BMW,1:52.072,7
2,5,Ralf SchumacherRSC,Williams BMW,1:52.959,10
3,1,Michael SchumacherMSC,Ferrari,1:54.685,8
4,22,Heinz-Harald FrentzenFRE,Prost Acer,1:55.233,10
5,2,Rubens BarrichelloBAR,Ferrari,1:56.116,7
6,10,Jacques VilleneuveVIL,BAR Honda,1:57.038,11
7,3,Mika HakkinenHAK,McLaren Mercedes,1:57.043,12
8,7,Giancarlo FisichellaFIS,Benetton Renault,1:57.668,7
9,4,David CoulthardCOU,McLaren Mercedes,1:58.008,10
10,19,Pedro de la RosaDLR,Jaguar Cosworth,1:58.519,11
11,9,Olivier PanisPAN,BAR Honda,1:58.838,8
12,17,Kimi RäikkönenRAI,Sauber Petronas,1:59.050,8
13,12,Jean AlesiALE,Jordan Honda,1:59.128,10
14,16,Nick HeidfeldHEI,Sauber Petronas,1:59.302,9
15,8,Jenson ButtonBUT,Benetton Renault,1:59.587,7
16,11,Jarno TrulliTRU,Jordan Honda,1:59.647,10
17,18,Eddie IrvineIRV,Jaguar Cosworth,1:59.689,9
18,23,Luciano BurtiBUR,Prost Acer,1:59.900,7
19,14,Jos VerstappenVER,Arrows Asiatech,2:02.039,10
20,21,Fernando AlonsoALO,Minardi European,2:02.594,8
21,15,Enrique BernoldiBER,Arrows Asiatech,2:03.048,10
22,20,Tarso MarquesMAR,Minardi European,2:04.204,10
