Pos,No,Driver,Car,Laps,Time/retired,Pts
1,27,Alan  JonesJON,Williams Ford,53,1:43:24.380,9
2,5,Nelson PiquetPIQ,Brabham Ford,53,+24.590s,6
3,21,Keke RosbergROS,Fittipaldi Ford,53,+78.640s,4
4,4,Derek DalyDAL,Tyrrell Ford,53,+83.480s,3
5,23,Bruno GiacomelliGIA,Alfa Romeo,52,+1 lap,2
6,8,Alain ProstPRO,McLaren Ford,52,+1 lap,1
7,6,Ricardo ZuninoZUN,Brabham Ford,51,+2 laps,0
NC,22,Patrick DepaillerDEP,Alfa Romeo,46,DNF,0
NC,1,Jody ScheckterSCH,Ferrari,45,DNF,0
NC,14,Clay RegazzoniREG,Ensign Ford,44,+9 laps,0
NC,20,Emerson FittipaldiFIT,Fittipaldi Ford,37,+16 laps,0
NC,2,Gilles VilleneuveVIL,Ferrari,36,DNF,0
NC,26,Jacques LaffiteLAF,Ligier Ford,30,DNF,0
NC,29,Riccardo PatresePAT,Arrows Ford,27,DNF,0
NC,9,Marc SurerSUR,ATS Ford,27,DNF,0
NC,11,Mario AndrettiAND,Lotus Ford,20,DNF,0
NC,30,Jochen MassMAS,Arrows Ford,20,DNF,0
NC,28,Carlos ReutemannREU,Williams Ford,12,DNF,0
NC,12,Elio de AngelisDEA,Lotus Ford,7,DNF,0
NC,7,John WatsonWAT,McLaren Ford,5,DNF,0
NC,15,Jean-Pierre JabouilleJAB,Renault,3,DNF,0
NC,16,Rene ArnouxARN,Renault,2,DNF,0
NC,25,Didier PironiPIR,Ligier Ford,1,DNF,0
NC,3,Jean-Pierre JarierJAR,Tyrrell Ford,1,DNF,0
