Pos,No,Driver,Car,Time,Gap,Laps
1,16,Charles LeclercLEC,Ferrari,1:42.872,,28
2,5,Sebastian VettelVET,Ferrari,1:43.196,+0.324s,28
3,44,Lewis HamiltonHAM,Mercedes,1:43.541,+0.669s,31
4,33,Max VerstappenVER,Red Bull Racing Honda,1:43.793,+0.921s,24
5,77,Valtteri BottasBOT,Mercedes,1:44.003,+1.131s,31
6,26,Daniil KvyatKVY,Scuderia Toro Rosso Honda,1:44.177,+1.305s,9
7,55,Carlos SainzSAI,McLaren Renault,1:44.183,+1.311s,27
8,23,Alexander AlbonALB,Scuderia Toro Rosso Honda,1:44.216,+1.344s,33
9,10,Pierre GaslyGAS,Red Bull Racing Honda,1:44.240,+1.368s,24
10,4,Lando NorrisNOR,McLaren Renault,1:44.295,+1.423s,32
11,20,Kevin MagnussenMAG,Haas Ferrari,1:44.901,+2.029s,25
12,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:45.366,+2.494s,31
13,11,Sergio PerezPER,Racing Point BWT Mercedes,1:45.436,+2.564s,28
14,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:45.482,+2.610s,30
15,3,Daniel RicciardoRIC,Renault,1:45.483,+2.611s,15
16,8,Romain GrosjeanGRO,Haas Ferrari,1:45.618,+2.746s,31
17,27,Nico HulkenbergHUL,Renault,1:46.717,+3.845s,24
18,18,Lance StrollSTR,Racing Point BWT Mercedes,1:47.875,+5.003s,8
19,88,Robert KubicaKUB,Williams Mercedes,1:48.111,+5.239s,27
