Pos,No,Driver,Car,Time,Gap,Laps
1,77,Valtteri BottasBOT,Mercedes,1:27.785,,33
2,44,Lewis HamiltonHAM,Mercedes,1:27.885,+0.100s,34
3,33,Max VerstappenVER,Red Bull Racing Honda,1:28.066,+0.281s,24
4,16,Charles LeclercLEC,Ferrari,1:28.141,+0.356s,28
5,5,Sebastian VettelVET,Ferrari,1:28.376,+0.591s,37
6,23,Alexander AlbonALB,Red Bull Racing Honda,1:28.402,+0.617s,34
7,55,Carlos SainzSAI,McLaren Renault,1:29.051,+1.266s,29
8,11,Sergio PerezPER,Racing Point BWT Mercedes,1:29.299,+1.514s,28
9,10,Pierre GaslyGAS,Scuderia Toro Rosso Honda,1:29.354,+1.569s,34
10,4,Lando NorrisNOR,McLaren Renault,1:29.358,+1.573s,35
11,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:29.477,+1.692s,29
12,26,Daniil KvyatKVY,Scuderia Toro Rosso Honda,1:29.512,+1.727s,35
13,8,Romain GrosjeanGRO,Haas Ferrari,1:29.553,+1.768s,28
14,18,Lance StrollSTR,Racing Point BWT Mercedes,1:29.597,+1.812s,27
15,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:29.651,+1.866s,33
16,20,Kevin MagnussenMAG,Haas Ferrari,1:29.749,+1.964s,31
17,3,Daniel RicciardoRIC,Renault,1:29.859,+2.074s,30
18,27,Nico HulkenbergHUL,Renault,1:30.334,+2.549s,29
19,88,Robert KubicaKUB,Williams Mercedes,1:30.916,+3.131s,35
20,63,George RussellRUS,Williams Mercedes,1:31.071,+3.286s,36
