Pos,No,Driver,Car,Time,Gap,Laps
1,16,Charles LeclercLEC,Ferrari,1:12.177,,39
2,5,Sebastian VettelVET,Ferrari,1:12.251,+0.074s,38
3,77,Valtteri BottasBOT,Mercedes,1:12.311,+0.134s,46
4,55,Carlos SainzSAI,McLaren Renault,1:12.553,+0.376s,45
5,20,Kevin MagnussenMAG,Haas Ferrari,1:12.935,+0.758s,41
6,44,Lewis HamiltonHAM,Mercedes,1:12.938,+0.761s,8
7,11,Sergio PerezPER,Racing Point BWT Mercedes,1:13.003,+0.826s,39
8,3,Daniel RicciardoRIC,Renault,1:13.016,+0.839s,40
9,27,Nico HulkenbergHUL,Renault,1:13.168,+0.991s,42
10,18,Lance StrollSTR,Racing Point BWT Mercedes,1:13.171,+0.994s,37
11,4,Lando NorrisNOR,McLaren Renault,1:13.249,+1.072s,38
12,10,Pierre GaslyGAS,Red Bull Racing Honda,1:13.345,+1.168s,38
13,33,Max VerstappenVER,Red Bull Racing Honda,1:13.388,+1.211s,22
14,23,Alexander AlbonALB,Scuderia Toro Rosso Honda,1:13.436,+1.259s,45
15,26,Daniil KvyatKVY,Scuderia Toro Rosso Honda,1:13.521,+1.344s,40
16,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:13.542,+1.365s,41
17,8,Romain GrosjeanGRO,Haas Ferrari,1:13.598,+1.421s,39
18,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:14.870,+2.693s,16
19,63,George RussellRUS,Williams Mercedes,1:15.036,+2.859s,36
20,88,Robert KubicaKUB,Williams Mercedes,1:15.287,+3.110s,44
