Pos,No,Driver,Car,Laps,Time/retired,Pts
1,1,Max VerstappenVER,Red Bull Racing Honda RBPT,19,31:30.849,8
2,44,Lewis HamiltonHAM,Mercedes,19,+9.465s,7
3,16,Charles LeclercLEC,Ferrari,19,+17.987s,6
4,4,Lando NorrisNOR,McLaren Mercedes,19,+18.863s,5
5,11,Sergio PerezPER,Red Bull Racing Honda RBPT,19,+22.928s,4
6,55,Carlos SainzSAI,Ferrari,19,+28.307s,3
7,10,Pierre GaslyGAS,Alpine Renault,19,+32.403s,2
8,63,George RussellRUS,Mercedes,19,+34.250s,1
9,23,Alexander AlbonALB,Williams Mercedes,19,+34.567s,0
10,81,Oscar PiastriPIA,McLaren Mercedes,19,+42.403s,0
11,31,Esteban OconOCO,Alpine Renault,19,+44.986s,0
12,3,Daniel RicciardoRIC,AlphaTauri Honda RBPT,19,+45.509s,0
13,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,19,+49.086s,0
14,22,Yuki TsunodaTSU,AlphaTauri Honda RBPT,19,+49.733s,0
15,27,Nico HulkenbergHUL,Haas Ferrari,19,+56.650s,0
16,77,Valtteri BottasBOT,Alfa Romeo Ferrari,19,+64.401s,0
17,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,19,+67.972s,0
18,20,Kevin MagnussenMAG,Haas Ferrari,19,+71.122s,0
19,2,Logan SargeantSAR,Williams Mercedes,19,+71.449s,0
NC,18,Lance StrollSTR,Aston Martin Aramco Mercedes,16,DNF,0
