Pos,No,Driver,Car,Laps,Time/retired,Pts
1,81,Oscar PiastriPIA,McLaren Mercedes,19,35:01.297,8
2,1,Max VerstappenVER,Red Bull Racing Honda RBPT,19,+1.871s,7
3,4,Lando NorrisNOR,McLaren Mercedes,19,+8.497s,6
4,63,George RussellRUS,Mercedes,19,+11.036s,5
5,44,Lewis HamiltonHAM,Mercedes,19,+17.314s,4
6,55,Carlos SainzSAI,Ferrari,19,+18.806s,3
7,23,Alexander AlbonALB,Williams Mercedes,19,+19.864s,2
8,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,19,+21.180s,1
9,10,Pierre GaslyGAS,Alpine Renault,19,+21.742s,0
10,77,Valtteri BottasBOT,Alfa Romeo Ferrari,19,+22.208s,0
11,22,Yuki TsunodaTSU,AlphaTauri Honda RBPT,19,+22.863s,0
12,16,Charles LeclercLEC,Ferrari,19,+24.860s,0
13,20,Kevin MagnussenMAG,Haas Ferrari,19,+24.970s,0
14,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,19,+26.868s,0
15,18,Lance StrollSTR,Aston Martin Aramco Mercedes,19,+29.523s,0
NC,27,Nico HulkenbergHUL,Haas Ferrari,11,DNF,0
NC,31,Esteban OconOCO,Alpine Renault,10,DNF,0
NC,11,Sergio PerezPER,Red Bull Racing Honda RBPT,10,DNF,0
NC,2,Logan SargeantSAR,Williams Mercedes,2,DNF,0
NC,40,Liam LawsonLAW,AlphaTauri Honda RBPT,0,DNF,0
