Pos,No,Driver,Car,Laps,Time/retired,Pts
1,1,Max VerstappenVER,Red Bull Racing Honda RBPT,24,30:07.209,8
2,4,Lando NorrisNOR,McLaren Mercedes,24,+4.287s,7
3,11,Sergio PerezPER,Red Bull Racing Honda RBPT,24,+13.617s,6
4,63,George RussellRUS,Mercedes,24,+25.879s,5
5,16,Charles LeclercLEC,Ferrari,24,+28.560s,4
6,22,Yuki TsunodaTSU,AlphaTauri Honda RBPT,24,+29.210s,3
7,44,Lewis HamiltonHAM,Mercedes,24,+34.726s,2
8,55,Carlos SainzSAI,Ferrari,24,+35.106s,1
9,3,Daniel RicciardoRIC,AlphaTauri Honda RBPT,24,+35.303s,0
10,81,Oscar PiastriPIA,McLaren Mercedes,24,+38.219s,0
11,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,24,+39.061s,0
12,18,Lance StrollSTR,Aston Martin Aramco Mercedes,24,+39.478s,0
13,10,Pierre GaslyGAS,Alpine Renault,24,+40.621s,0
14,31,Esteban OconOCO,Alpine Renault,24,+42.848s,0
15,23,Alexander AlbonALB,Williams Mercedes,24,+43.394s,0
16,20,Kevin MagnussenMAG,Haas Ferrari,24,+56.507s,0
17,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,24,+58.723s,0
18,27,Nico HulkenbergHUL,Haas Ferrari,24,+60.330s,0
19,77,Valtteri BottasBOT,Alfa Romeo Ferrari,24,+60.749s,0
20,2,Logan SargeantSAR,Williams Mercedes,24,+60.945s,0
