Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,3,Lewis HamiltonHAM,McLaren Mercedes,1:37.525,1:36.526,1:35.820,14
2,1,Sebastian VettelVET,Red Bull Racing Renault,1:39.093,1:37.285,1:36.042,12
3,4,Jenson ButtonBUT,McLaren Mercedes,1:37.929,1:37.302,1:36.126,14
4,2,Mark WebberWEB,Red Bull Racing Renault,1:39.071,1:37.292,1:36.468,11
5,6,Felipe MassaMAS,Ferrari,1:38.670,1:37.313,1:36.831,16
6,5,Fernando AlonsoALO,Ferrari,1:38.393,1:37.352,1:36.980,11
7,8,Nico RosbergROS,Mercedes,1:38.426,1:37.892,1:37.754,12
8,10,Vitaly PetrovPET,Renault,1:38.378,1:38.186,1:38.124,19
9,15,Paul di RestaDIR,Force India Mercedes,1:38.549,1:38.254,DNF,16
10,14,Adrian SutilSUT,Force India Mercedes,1:38.789,1:38.219,,14
11,19,Jaime AlguersuariALG,STR Ferrari,1:39.392,1:38.315,,11
12,7,Michael SchumacherMSC,Mercedes,1:38.502,1:38.354,,9
13,18,Sebastien BuemiBUE,STR Ferrari,1:39.352,1:38.508,,11
14,16,Kamui KobayashiKOB,Sauber Ferrari,1:39.464,1:38.775,,13
15,9,Bruno SennaSEN,Renault,1:39.316,1:38.791,,14
16,12,Pastor MaldonadoMAL,Williams Cosworth,1:39.436,1:39.189,,8
17,17,Sergio PerezPER,Sauber Ferrari,1:39.097,1:39.443,,14
18,11,Rubens BarrichelloBAR,Williams Cosworth,1:39.538,,,4
19,20,Heikki KovalainenKOV,Lotus Renault,1:40.522,,,6
20,21,Jarno TrulliTRU,Lotus Renault,1:41.101,,,6
21,24,Timo GlockGLO,Virgin Cosworth,1:42.091,,,7
22,25,Jerome d'AmbrosioDAM,Virgin Cosworth,1:43.483,,,8
23,23,Vitantonio LiuzziLIU,HRT Cosworth,1:43.758,,,8
NC,22,Daniel RicciardoRIC,HRT Cosworth,DNF,,,2
