Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,1,Sebastian VettelVET,Red Bull Racing Renault,1:21.740,1:21.095,1:19.815,14
2,3,Lewis HamiltonHAM,McLaren Mercedes,1:21.636,1:21.105,1:19.978,12
3,4,Jenson ButtonBUT,McLaren Mercedes,1:22.038,1:20.578,1:20.024,15
4,6,Felipe MassaMAS,Ferrari,1:22.130,1:21.099,1:20.350,15
5,5,Fernando AlonsoALO,Ferrari,1:21.578,1:20.262,1:20.365,15
6,2,Mark WebberWEB,Red Bull Racing Renault,1:22.208,1:20.890,1:20.474,16
7,8,Nico RosbergROS,Mercedes,1:22.996,1:21.243,1:21.098,12
8,14,Adrian SutilSUT,Force India Mercedes,1:22.237,1:22.000,1:21.445,19
9,7,Michael SchumacherMSC,Mercedes,1:22.876,1:21.852,1:21.907,17
10,17,Sergio PerezPER,Sauber Ferrari,1:23.067,1:22.157,DNS,16
11,15,Paul di RestaDIR,Force India Mercedes,1:22.976,1:22.256,,13
12,10,Vitaly PetrovPET,Renault,1:23.070,1:22.284,,14
13,16,Kamui KobayashiKOB,Sauber Ferrari,1:23.278,1:22.435,,16
14,9,Nick HeidfeldHEI,Renault,1:23.024,1:22.470,,14
15,11,Rubens BarrichelloBAR,Williams Cosworth,1:23.075,1:22.684,,16
16,19,Jaime AlguersuariALG,STR Ferrari,1:23.285,1:22.979,,10
17,12,Pastor MaldonadoMAL,Williams Cosworth,1:23.847,,,9
18,18,Sebastien BuemiBUE,STR Ferrari,1:24.070,,,9
19,20,Heikki KovalainenKOV,Lotus Renault,1:24.362,,,8
20,21,Jarno TrulliTRU,Lotus Renault,1:24.534,,,7
21,24,Timo GlockGLO,Virgin Cosworth,1:26.294,,,10
22,23,Vitantonio LiuzziLIU,HRT Cosworth,1:26.323,,,11
23,22,Daniel RicciardoRIC,HRT Cosworth,1:26.479,,,11
24,25,Jerome d'AmbrosioDAM,Virgin Cosworth,1:26.510,,,8
